Virus Strain Name,Accession_ID,Lineage,Sample_Collection_Date,country,province,city
hCoV-19/Henan/PYCDC-001/2023,EPI_ISL_17104942,BF.7.14,2/21/2023,China,Henan,Puyang
hCoV-19/Henan/PYCDC-002/2023,EPI_ISL_17104943,BF.7.14,2/21/2023,China,Henan,Puyang
hCoV-19/Henan/PYCDC-003/2023,EPI_ISL_17104944,BA.5.2.48,2/21/2023,China,Henan,Puyang
hCoV-19/Henan/PYCDC-004/2023,EPI_ISL_17104945,BA.5.2.48,2/21/2023,China,Henan,Puyang
hCoV-19/Henan/PYCDC-005/2023,EPI_ISL_17104946,BA.5.2.48,2/21/2023,China,Henan,Puyang
hCoV-19/Henan/PYCDC-007/2023,EPI_ISL_17104947,BA.5.2.48,2/21/2023,China,Henan,Puyang
hCoV-19/Henan/PYCDC-008/2023,EPI_ISL_17104948,BA.5.2.48,2/20/2023,China,Henan,Puyang
hCoV-19/Henan/PYCDC-009/2023,EPI_ISL_17104949,BA.5.2.48,2/20/2023,China,Henan,Puyang
hCoV-19/Henan/PYCDC-011/2023,EPI_ISL_17104950,BA.5.2.48,2/20/2023,China,Henan,Puyang
hCoV-19/Anhui/BZCDC-1/2023,EPI_ISL_17105585,BF.7.14,1/3/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-2/2023,EPI_ISL_17105586,BF.7.14,1/6/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-3/2023,EPI_ISL_17105587,BA.5.2.48,1/7/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-4/2023,EPI_ISL_17105588,BF.7.14,1/7/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-5/2023,EPI_ISL_17105589,BF.7.14,1/9/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-6/2023,EPI_ISL_17105590,BA.5.2.48,1/9/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-7/2023,EPI_ISL_17105591,BA.5.2.48,1/9/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-8/2023,EPI_ISL_17105592,BF.7.14,1/20/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-9/2023,EPI_ISL_17105593,BF.7.14,1/21/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-10/2023,EPI_ISL_17105594,BF.7.14,1/23/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-11/2023,EPI_ISL_17105595,BA.5.2.48,2/9/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-12/2023,EPI_ISL_17105596,BF.7.14,2/9/2023,China,Anhui,Bozhou
hCoV-19/Anhui/BZCDC-13/2023,EPI_ISL_17105597,BA.5.2.48,2/14/2023,China,Anhui,Bozhou
hCoV-19/Hubei/HCDC-SY740/2023,EPI_ISL_17105598,DY.4,2/16/2023,China,Hubei,Shiyan
hCoV-19/Hubei/HCDC-SY741/2023,EPI_ISL_17105599,DY.4,2/20/2023,China,Hubei,Shiyan
hCoV-19/Hubei/HCDC-SY742/2023,EPI_ISL_17105600,DY.4,2/19/2023,China,Hubei,Shiyan
hCoV-19/Henan/JZCDC-17/2023,EPI_ISL_17150191,BA.5.2.48,2/21/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-18/2023,EPI_ISL_17150192,BA.5.2.48,2/21/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-19/2023,EPI_ISL_17150193,BA.5.2.48,2/21/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-20/2023,EPI_ISL_17150194,BF.7.14,2/18/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-21/2023,EPI_ISL_17150195,BA.5.2.48,2/17/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-22/2023,EPI_ISL_17150196,BA.5.2.48,2/20/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-23/2023,EPI_ISL_17150197,BA.5.2.49,2/20/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-24/2023,EPI_ISL_17150198,BA.5.2.48,2/22/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-25/2023,EPI_ISL_17150199,BA.5.2.48,2/22/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-26/2023,EPI_ISL_17150200,BA.5.2.48,2/22/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-27/2023,EPI_ISL_17150201,BA.5.2.48,2/21/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-28/2023,EPI_ISL_17150202,BA.5.2.48,2/21/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-30/2023,EPI_ISL_17150203,BA.5.2.48,2/23/2023,China,Henan,Jiaozuo
hCoV-19/Henan/JZCDC-31/2023,EPI_ISL_17150204,BA.5.2.48,2/20/2023,China,Henan,Jiaozuo
hCoV-19/Gansu/GSCDC-213/2023,EPI_ISL_17150459,BA.5.2.48,1/17/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-214/2023,EPI_ISL_17150460,BA.5.2.48,1/17/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-215/2023,EPI_ISL_17150461,BA.5.2.48,1/17/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-216/2023,EPI_ISL_17150462,BF.7.14,1/17/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-217/2023,EPI_ISL_17150463,BA.5.2.48,1/17/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-218/2023,EPI_ISL_17150464,BA.5.2.48,1/17/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-219/2023,EPI_ISL_17150465,BA.5.2.48,1/17/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-220/2023,EPI_ISL_17150466,BA.5.2.48,1/17/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-222/2023,EPI_ISL_17150468,BA.5.2.48,1/18/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-223/2023,EPI_ISL_17150469,BF.7.14,1/18/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-224/2023,EPI_ISL_17150470,BA.5.2.48,1/18/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-225/2023,EPI_ISL_17150471,BA.5.2.48,1/18/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-226/2023,EPI_ISL_17150472,BA.5.2.48,1/18/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-227/2023,EPI_ISL_17150473,BA.5.2.48,1/24/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-228/2023,EPI_ISL_17150474,BF.7.14,1/24/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-229/2023,EPI_ISL_17150475,BF.7.14,1/29/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-255/2023,EPI_ISL_17150501,BF.7.14,1/14/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-266/2023,EPI_ISL_17150512,BA.5.2.48,1/24/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-267/2023,EPI_ISL_17150513,BA.5.2.48,1/24/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-270/2023,EPI_ISL_17150516,BA.5.2.48,1/26/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-272/2023,EPI_ISL_17150518,BA.5.2.49,2/6/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-273/2023,EPI_ISL_17150519,BA.5.2.48,2/6/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-274/2023,EPI_ISL_17150520,BA.5.2.48,2/6/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-275/2023,EPI_ISL_17150521,BA.5.2.48,2/6/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-276/2023,EPI_ISL_17150522,BA.5.2.22,2/7/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-277/2023,EPI_ISL_17150523,BA.5.2.22,2/9/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-278/2023,EPI_ISL_17150524,BA.5.2.48,2/6/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-279/2023,EPI_ISL_17150525,BA.5.2,2/13/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-280/2023,EPI_ISL_17150526,BA.5.2,2/9/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-283/2023,EPI_ISL_17150529,BA.5.2.48,2/14/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-361/2023,EPI_ISL_17150607,BA.5.2.48,2/15/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-362/2023,EPI_ISL_17150608,BA.5.2.48,2/13/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-363/2023,EPI_ISL_17150609,BA.5.2.48,2/14/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-364/2023,EPI_ISL_17150610,BA.5.2.48,2/13/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-365/2023,EPI_ISL_17150611,BA.5.2.48,2/7/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-366/2023,EPI_ISL_17150612,BA.5.2,2/9/2023,China,Gansu,Zhangye
hCoV-19/Gansu/GSCDC-368/2023,EPI_ISL_17150614,BA.5.2.48,2/3/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-369/2023,EPI_ISL_17150615,BA.5.2.48,2/4/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-370/2023,EPI_ISL_17150616,BA.5.2.48,2/4/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-371/2023,EPI_ISL_17150617,BF.7.14,2/6/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-372/2023,EPI_ISL_17150618,BA.5.2.48,2/7/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-373/2023,EPI_ISL_17150619,BA.5.2.48,2/8/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-374/2023,EPI_ISL_17150620,BA.5.2.48,2/8/2023,China,Gansu,Qingyang
hCoV-19/Gansu/GSCDC-375/2023,EPI_ISL_17150621,BA.5.2.48,2/6/2023,China,Gansu,Baiyin
hCoV-19/Gansu/GSCDC-376/2023,EPI_ISL_17150622,BA.5.2.48,2/8/2023,China,Gansu,Baiyin
hCoV-19/Gansu/GSCDC-377/2023,EPI_ISL_17150623,BA.5.2.48,1/16/2023,China,Gansu,Baiyin
hCoV-19/Gansu/GSCDC-378/2023,EPI_ISL_17150624,BA.5.2.48,1/27/2023,China,Gansu,Baiyin
hCoV-19/Gansu/GSCDC-379/2023,EPI_ISL_17150625,BA.5.2.48,1/30/2023,China,Gansu,Baiyin
hCoV-19/Gansu/GSCDC-380/2023,EPI_ISL_17150626,BA.5.2.48,2/1/2023,China,Gansu,Baiyin
hCoV-19/Gansu/GSCDC-381/2023,EPI_ISL_17150627,BA.5.2.48,1/31/2023,China,Gansu,Baiyin
hCoV-19/Gansu/GSCDC-382/2023,EPI_ISL_17150628,BA.5.2.48,2/7/2023,China,Gansu,Baiyin
hCoV-19/Gansu/GSCDC-383/2023,EPI_ISL_17150629,BA.5.2.48,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-385/2023,EPI_ISL_17150631,BA.5.2.48,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-386/2023,EPI_ISL_17150632,BA.5.2.48,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-387/2023,EPI_ISL_17150633,BA.5.2.48,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-388/2023,EPI_ISL_17150634,BA.5.2.48,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-389/2023,EPI_ISL_17150635,BF.7,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-390/2023,EPI_ISL_17150636,BA.5.2.48,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-391/2023,EPI_ISL_17150637,BA.5.2.48,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-392/2023,EPI_ISL_17150638,BA.5.2.48,2/2/2023,China,Gansu,Lanzhou
hCoV-19/Gansu/GSCDC-394/2023,EPI_ISL_17150640,BA.5.2.48,2/17/2023,China,Gansu,Jiayuguan
hCoV-19/Anhui/LCDC-031/2023,EPI_ISL_17162481,BF.7.14,2/26/2023,China,Anhui,Luan
hCoV-19/Beijing/BJCDC-0532/2023,EPI_ISL_17162732,BF.7.14,2/8/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0533/2023,EPI_ISL_17162733,BA.5.2.48,2/13/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0534/2023,EPI_ISL_17162734,BA.5.1,2/13/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0535/2023,EPI_ISL_17162735,BA.5.2.48,2/13/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0541/2023,EPI_ISL_17162736,BF.7.14,1/3/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0543/2023,EPI_ISL_17162737,BF.7.14,2/10/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0544/2023,EPI_ISL_17162738,BF.7.14,2/3/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0545/2023,EPI_ISL_17162739,BF.7.14,2/7/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0546/2023,EPI_ISL_17162740,BF.7.14,2/1/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0547/2023,EPI_ISL_17162741,BF.7.14,2/7/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0548/2023,EPI_ISL_17162742,BF.7.14,2/7/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0549/2023,EPI_ISL_17162743,BF.7.14,2/7/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0550/2023,EPI_ISL_17162744,BF.7.14,2/7/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0551/2023,EPI_ISL_17162745,BF.7.14,2/8/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0552/2023,EPI_ISL_17162746,BA.5.2.49,2/13/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0553/2023,EPI_ISL_17162747,BA.5.2.48,2/10/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0554/2023,EPI_ISL_17162748,BF.7.14,2/10/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0555/2023,EPI_ISL_17162749,BF.7.14,2/9/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0557/2023,EPI_ISL_17162751,BF.7.14,2/8/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0562/2023,EPI_ISL_17162756,BF.7.14,2/6/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0563/2023,EPI_ISL_17162757,BA.5.2.48,2/12/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0564/2023,EPI_ISL_17162758,BA.5.2.48,2/12/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0565/2023,EPI_ISL_17162759,BF.7.14,2/5/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0566/2023,EPI_ISL_17162760,BF.7.14,2/9/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0568/2023,EPI_ISL_17162762,BF.7.14,2/9/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0569/2023,EPI_ISL_17162763,BA.5.2.48,2/8/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0570/2023,EPI_ISL_17162764,BF.7.14,2/6/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0571/2023,EPI_ISL_17162765,BF.7.14,2/8/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0572/2023,EPI_ISL_17162766,BF.7.14,2/9/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0574/2023,EPI_ISL_17162768,BA.5.2.48,2/2/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0575/2023,EPI_ISL_17162769,BF.7.14,2/2/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0576/2023,EPI_ISL_17162770,BF.7.14,2/2/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0578/2023,EPI_ISL_17162772,BA.5.2.48,2/7/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0579/2023,EPI_ISL_17162773,BA.5.2.48,2/14/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0580/2023,EPI_ISL_17162774,XBL,2/13/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0581/2023,EPI_ISL_17162775,XBB.1,2/18/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0586/2023,EPI_ISL_17162776,BF.7.14,1/31/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0587/2023,EPI_ISL_17162777,BA.5.2.48,2/1/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0588/2023,EPI_ISL_17162778,BA.5.2.48,2/2/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0589/2023,EPI_ISL_17162779,BA.5.2.48,2/14/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0590/2023,EPI_ISL_17162780,BF.7.14,2/16/2023,China,Beijing,
hCoV-19/Beijing/BJCDC-0591/2023,EPI_ISL_17162781,BF.7.14,2/10/2023,China,Beijing,
hCoV-19/Henan/CDC-32/2023,EPI_ISL_17164782,BA.5.2.48,2/24/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-33/2023,EPI_ISL_17164783,BA.5.2.48,2/26/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-34/2023,EPI_ISL_17164784,BA.5.2.48,2/26/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-35/2023,EPI_ISL_17164785,BA.5.2.48,2/24/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-36/2023,EPI_ISL_17164786,BA.5.2.48,2/23/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-37/2023,EPI_ISL_17164787,BA.5.2.48,2/25/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-38/2023,EPI_ISL_17164788,BA.5.2.48,2/26/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-39/2023,EPI_ISL_17164789,BA.5.2.48,2/26/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-40/2023,EPI_ISL_17164790,BA.5.2.48,2/26/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-41/2023,EPI_ISL_17164791,BA.5.2.48,2/23/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-42/2023,EPI_ISL_17164792,BA.5.2.48,2/25/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-43/2023,EPI_ISL_17164793,BA.5.2.48,2/26/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-44/2023,EPI_ISL_17164794,BA.5.2.48,2/23/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-45/2023,EPI_ISL_17164795,BA.5.2.48,2/26/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-46/2023,EPI_ISL_17164796,BA.5.2.48,2/27/2023,China,Henan,Jiaozuo
hCoV-19/Henan/CDC-023/2023,EPI_ISL_17164834,BA.5.2.48,2/24/2023,China,Henan,Luoyang
hCoV-19/Henan/CDC-025/2023,EPI_ISL_17164836,BA.5.2.48,2/21/2023,China,Henan,Luoyang
hCoV-19/Henan/CDC-028/2023,EPI_ISL_17164838,BF.7.14,2/21/2023,China,Henan,Luoyang
hCoV-19/Henan/CDC-030/2023,EPI_ISL_17164840,BA.5.2.48,2/23/2023,China,Henan,Luoyang
hCoV-19/Henan/CDC-031/2023,EPI_ISL_17164841,BA.5.2.48,2/24/2023,China,Henan,Luoyang
hCoV-19/Henan/CDC-032/2023,EPI_ISL_17164842,BA.5.2.48,2/25/2023,China,Henan,Luoyang
hCoV-19/Henan/CDC-033/2023,EPI_ISL_17164843,BF.7.14,2/24/2023,China,Henan,Luoyang
hCoV-19/Henan/CDC-034/2023,EPI_ISL_17164844,BA.5.2.48,2/24/2023,China,Henan,Luoyang
hCoV-19/Henan/CDC-035/2023,EPI_ISL_17164845,BF.7.14,2/24/2023,China,Henan,Luoyang
hCoV-19/Henan/ACDC-011/2023,EPI_ISL_17165041,BA.5.2.48,2/18/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-012/2023,EPI_ISL_17165042,BF.7.14,2/26/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-014/2023,EPI_ISL_17165044,BA.5.2.48,2/20/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-015/2023,EPI_ISL_17165045,BA.5.2.48,2/20/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-016/2023,EPI_ISL_17165046,BF.7.14,2/21/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-017/2023,EPI_ISL_17165047,BA.5.2.48,2/21/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-018/2023,EPI_ISL_17165048,BA.5.2.48,2/22/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-019/2023,EPI_ISL_17165049,BA.5.2.48,2/22/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-020/2023,EPI_ISL_17165050,BA.5.2.48,2/25/2023,China,Henan,Anyang
hCoV-19/Henan/ACDC-021/2023,EPI_ISL_17165051,BA.5.2.48,2/23/2023,China,Henan,Anyang
hCoV-19/Henan/SCDC-01/2023,EPI_ISL_17165304,BF.7.14,2/20/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-02/2023,EPI_ISL_17165305,BA.5.2.48,2/21/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-03/2023,EPI_ISL_17165306,BA.5.2.48,2/24/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-04/2023,EPI_ISL_17165307,BF.7.14,2/25/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-05/2023,EPI_ISL_17165308,BA.5.2.6,2/22/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-06/2023,EPI_ISL_17165309,BA.5.2.48,2/26/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-07/2023,EPI_ISL_17165310,BA.5.2.48,2/23/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-08/2023,EPI_ISL_17165311,BA.5.2.48,2/22/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-09/2023,EPI_ISL_17165312,BA.5.2.48,2/24/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-10/2023,EPI_ISL_17165313,BA.5.2.48,2/25/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-11/2023,EPI_ISL_17165314,BA.5.2.48,2/26/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-12/2023,EPI_ISL_17165315,BA.5.2.48,2/26/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-14/2023,EPI_ISL_17165317,BA.5.2.48,2/24/2023,China,Henan,Shangqiu
hCoV-19/Henan/SCDC-15/2023,EPI_ISL_17165318,BA.5.2.48,2/22/2023,China,Henan,Shangqiu
hCoV-19/Jiangsu/JITHC-35/2023,EPI_ISL_17167879,BN.1.3,2/5/2023,China,Jiangsu,
hCoV-19/Guangdong/GDCDC-FS-0013/2023,EPI_ISL_17170678,BA.5.2.48,1/21/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0031/2023,EPI_ISL_17170679,BA.5.2.49,1/20/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0032/2023,EPI_ISL_17170680,BA.5.2.48,1/20/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0033/2023,EPI_ISL_17170681,BA.5.2.48,1/20/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0034/2023,EPI_ISL_17170682,BA.5.2.48,1/20/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0035/2023,EPI_ISL_17170683,BF.7.14,1/20/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0036/2023,EPI_ISL_17170684,BF.7.14,1/20/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0037/2023,EPI_ISL_17170685,BA.5.2.48,1/25/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0038/2023,EPI_ISL_17170686,BA.5.2.48,1/25/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0039/2023,EPI_ISL_17170687,BA.5.2.48,1/25/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0041/2023,EPI_ISL_17170688,BA.5.2.48,1/25/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0042/2023,EPI_ISL_17170689,BA.5.2.48,1/25/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-ST-0043/2023,EPI_ISL_17170690,BF.7.14,1/25/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-SG-0011/2023,EPI_ISL_17170691,BA.5.2.48,1/18/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-SG-0012/2023,EPI_ISL_17170692,BA.5.2.48,1/18/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-SG-0013/2023,EPI_ISL_17170693,BA.5.2.48,1/18/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0011/2023,EPI_ISL_17170694,BA.5.2.48,1/10/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0012/2023,EPI_ISL_17170695,BA.5.2.48,1/12/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0013/2023,EPI_ISL_17170696,BA.5.2.48,1/12/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0014/2023,EPI_ISL_17170697,BA.5.2.48,1/11/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0015/2023,EPI_ISL_17170698,BA.5.2.48,1/16/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0016/2023,EPI_ISL_17170699,BA.5.2.48,1/13/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0017/2023,EPI_ISL_17170700,BA.5.2.48,1/14/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0018/2023,EPI_ISL_17170701,BA.5.2.48,1/14/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0019/2023,EPI_ISL_17170702,BA.5.2.48,1/10/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0020/2023,EPI_ISL_17170703,BA.5.2.48,1/10/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0021/2023,EPI_ISL_17170704,BA.5.2.48,1/15/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-GZ-0022/2023,EPI_ISL_17170705,BA.5.2.48,1/17/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-MZ-0001/2023,EPI_ISL_17170707,BA.5.2.48,1/17/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-MZ-0002/2023,EPI_ISL_17170708,BF.7.14,1/17/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-MZ-0003/2023,EPI_ISL_17170709,BF.7.14,1/18/2023,China,Guangdong,
hCoV-19/Guangdong/GDCDC-MZ-0004/2023,EPI_ISL_17170710,BA.5.2.48,1/18/2023,China,Guangdong,
