Virus_Strain_Name	Accession_ID	Lineage	Sample_Collection_Date	country	province	city	merged_lineage	date
hCoV-19/Xinjiang/XJCDCWLMQ-405/2023	EPI_ISL_18108883	FR.1.4	7/20/2023	China	Xinjiang		BA.2.75*	7/20/2023
hCoV-19/Xinjiang/XJCDCWLMQ-361/2023	EPI_ISL_18108868	FR.1.3	6/30/2023	China	Xinjiang		BA.2.75*	6/30/2023
hCoV-19/Xinjiang/XJCDCWLMQ_376/2023	EPI_ISL_18108854	FY.3	7/3/2023	China	Xinjiang		XBB.1.22.1*	7/3/2023
hCoV-19/Xinjiang/XJCDCKS-158/2023	EPI_ISL_18108817	FR.1.1	6/27/2023	China	Xinjiang		BA.2.75*	6/27/2023
hCoV-19/Xinjiang/XJCDCKS-153/2023	EPI_ISL_18108812	HK.1	6/28/2023	China	Xinjiang		EG.5.1*	6/28/2023
hCoV-19/Xinjiang/XJCDCKLMY-213/2023	EPI_ISL_18108800	FY.3.1	7/17/2023	China	Xinjiang		XBB.1.22.1*	7/17/2023
hCoV-19/Xinjiang/XJCDCKLMY-211/2023	EPI_ISL_18108798	FY.3.1	7/15/2023	China	Xinjiang		XBB.1.22.1*	7/15/2023
hCoV-19/Xinjiang/XJCDCKLMY-179/2023	EPI_ISL_18108790	FR.1.3	6/25/2023	China	Xinjiang		BA.2.75*	6/25/2023
hCoV-19/Xinjiang/XJCDCKLMY-172/2023	EPI_ISL_18108783	FR.1.1	7/3/2023	China	Xinjiang		BA.2.75*	7/3/2023
hCoV-19/Xinjiang/XJCDCKLMY_194/2023	EPI_ISL_18108781	FL.4.10	7/1/2023	China	Xinjiang		XBB.1.9.1*	7/1/2023
hCoV-19/Xinjiang/XJCDCKLMY_190/2023	EPI_ISL_18108778	FU.1	7/4/2023	China	Xinjiang		XBB.1.16*	7/4/2023
hCoV-19/Xinjiang/XJCDCKLMY_187/2023	EPI_ISL_18108775	FR.1.1	7/4/2023	China	Xinjiang		BA.2.75*	7/4/2023
hCoV-19/Xinjiang/XJCDCKLMY_184/2023	EPI_ISL_18108772	FR.1.3	7/3/2023	China	Xinjiang		BA.2.75*	7/3/2023
hCoV-19/Xinjiang/XJCDCHT_080/2023	EPI_ISL_18108768	FY.3.1	7/6/2023	China	Xinjiang		XBB.1.22.1*	7/6/2023
hCoV-19/Xinjiang/XJCDCHM-178/2023	EPI_ISL_18108758	FY.3.1	6/21/2023	China	Xinjiang		XBB.1.22.1*	6/21/2023
hCoV-19/Xinjiang/XJCDCHM_180/2023	EPI_ISL_18108744	FL.24	7/1/2023	China	Xinjiang		XBB.1.9.1*	7/1/2023
hCoV-19/Xinjiang/XJCDCCJ-188/2023	EPI_ISL_18108741	FR.1.4	7/19/2023	China	Xinjiang		BA.2.75*	7/19/2023
hCoV-19/Xinjiang/XJCDCCJ_182/2023	EPI_ISL_18108736	FY.3.3	7/8/2023	China	Xinjiang		XBB.1.22.1*	7/8/2023
hCoV-19/Xinjiang/XJCDCBOZ-91/2023	EPI_ISL_18108732	GY.1	6/26/2023	China	Xinjiang		XBB.1.16*	6/26/2023
hCoV-19/Xinjiang/XJCDCBOZ-90/2023	EPI_ISL_18108731	FR.1.3	6/29/2023	China	Xinjiang		BA.2.75*	6/29/2023
hCoV-19/Xinjiang/XJCDCBOZ-114/2023	EPI_ISL_18108724	FY.3.3	7/20/2023	China	Xinjiang		XBB.1.22.1*	7/20/2023
hCoV-19/Xinjiang/XJCDCBOZ-106/2023	EPI_ISL_18108717	HK.1	7/16/2023	China	Xinjiang		EG.5.1*	7/16/2023
hCoV-19/Xinjiang/XJCDCBOZ_95/2023	EPI_ISL_18108711	FL.2.3	7/4/2023	China	Xinjiang		XBB.1.9.1*	7/4/2023
hCoV-19/Xinjiang/XJCDCBOZ_101/2023	EPI_ISL_18108707	FY.3.1	7/4/2023	China	Xinjiang		XBB.1.22.1*	7/4/2023
hCoV-19/Xinjiang/XJCDCBAZ-166/2023	EPI_ISL_18108689	FY.3	6/27/2023	China	Xinjiang		XBB.1.22.1*	6/27/2023
hCoV-19/Xinjiang/XJCDCBAZ-165/2023	EPI_ISL_18108688	FL.24	6/27/2023	China	Xinjiang		XBB.1.9.1*	6/27/2023
hCoV-19/Xinjiang/XJCDCBAZ_183/2023	EPI_ISL_18108680	FY.3	7/7/2023	China	Xinjiang		XBB.1.22.1*	7/7/2023
hCoV-19/Xinjiang/XJCDCBAZ_181/2023	EPI_ISL_18108678	HK.1	7/6/2023	China	Xinjiang		EG.5.1*	7/6/2023
hCoV-19/Xinjiang/XJCDCBAZ_177/2023	EPI_ISL_18108674	FY.3	7/6/2023	China	Xinjiang		XBB.1.22.1*	7/6/2023
hCoV-19/Shanxi/SZCDC-SZ080/2023	EPI_ISL_18108627	HK.3	7/24/2023	China	Shanxi		EG.5.1*	7/24/2023
hCoV-19/Shanghai/SCDC-HG0806-2962/2023	EPI_ISL_18108426	FK.1.3.2	8/4/2023	China	Shanghai		BA.2.75*	8/4/2023
hCoV-19/Shanghai/SCDC-HG0805-2945/2023	EPI_ISL_18108412	EG.1.8	8/3/2023	China	Shanghai		Others	8/3/2023
hCoV-19/Shanghai/SCDC-664/2023	EPI_ISL_18108344	FE.1.1	7/24/2023	China	Shanghai		Others	7/24/2023
hCoV-19/Henan/SQCDC-0084/2023	EPI_ISL_18108340	FU.1	7/23/2023	China	Henan	Shangqiu	XBB.1.16*	7/23/2023
hCoV-19/Henan/SQCDC-0082/2023	EPI_ISL_18108338	FE.1.1	7/20/2023	China	Henan	Shangqiu	Others	7/20/2023
hCoV-19/Henan/SQCDC-0081/2023	EPI_ISL_18108337	FE.1.1	7/20/2023	China	Henan	Shangqiu	Others	7/20/2023
hCoV-19/Henan/SQCDC-0079/2023	EPI_ISL_18108335	FL.4	7/12/2023	China	Henan	Shangqiu	XBB.1.9.1*	7/12/2023
hCoV-19/Fujian/FCDC-LY1629/2023	EPI_ISL_18108320	FU.1	8/8/2023	China	Fujian	Longyan	XBB.1.16*	8/8/2023
hCoV-19/Fujian/FCDC-FZ23LG3339/2023	EPI_ISL_18108301	FE.1.1	7/25/2023	China	Fujian	Fuzhou	Others	7/25/2023
hCoV-19/Anhui/BZCDC-127/2023	EPI_ISL_18108297	FU.1	7/11/2023	China	Anhui	Bozhou	XBB.1.16*	7/11/2023
hCoV-19/Anhui/BZCDC-126/2023	EPI_ISL_18108296	FU.1	7/10/2023	China	Anhui	Bozhou	XBB.1.16*	7/10/2023
hCoV-19/Anhui/AQCDC-115/2023	EPI_ISL_18108282	FU.1	7/24/2023	China	Anhui		XBB.1.16*	7/24/2023
hCoV-19/Anhui/AQCDC-108/2023	EPI_ISL_18108275	HH.1	7/13/2023	China	Anhui		Others	7/13/2023
hCoV-19/Anhui/AQCDC-102/2023	EPI_ISL_18108269	GF.1	7/12/2023	China	Anhui		XBB.1.5*	7/12/2023
hCoV-19/Anhui/AQCDC-098/2023	EPI_ISL_18108265	GJ.1.2	7/6/2023	China	Anhui		Others	7/6/2023
hCoV-19/Anhui/AQCDC-096/2023	EPI_ISL_18108263	FE.1.1	7/7/2023	China	Anhui		Others	7/7/2023
hCoV-19/Anhui/AQCDC-094/2023	EPI_ISL_18108261	GJ.1.2	7/4/2023	China	Anhui		Others	7/4/2023
hCoV-19/Jiangsu/YCCDC295/2023	EPI_ISL_18105959	FY.3.3	7/4/2023	China	Jiangsu		XBB.1.22.1*	7/4/2023
hCoV-19/Jiangsu/YCCDC292/2023	EPI_ISL_18105956	GF.1	7/5/2023	China	Jiangsu		XBB.1.5*	7/5/2023
hCoV-19/Jiangsu/YCCDC291/2023	EPI_ISL_18105955	FY.3.1	7/5/2023	China	Jiangsu		XBB.1.22.1*	7/5/2023
hCoV-19/Jiangsu/XZCDC526/2023	EPI_ISL_18105954	FY.3.3	7/4/2023	China	Jiangsu		XBB.1.22.1*	7/4/2023
hCoV-19/Jiangsu/XZCDC523/2023	EPI_ISL_18105952	GF.1	6/28/2023	China	Jiangsu		XBB.1.5*	6/28/2023
hCoV-19/Jiangsu/WXCDC422/2023	EPI_ISL_18105949	GF.1	6/20/2023	China	Jiangsu		XBB.1.5*	6/20/2023
hCoV-19/Jiangsu/WXCDC416/2023	EPI_ISL_18105943	FL.4.10	6/21/2023	China	Jiangsu		XBB.1.9.1*	6/21/2023
hCoV-19/Jiangsu/TZCDC091-2026/2023	EPI_ISL_18105927	FY.3.1	7/1/2023	China	Jiangsu		XBB.1.22.1*	7/1/2023
hCoV-19/Jiangsu/TZCDC090-2025/2023	EPI_ISL_18105926	EG.5.1.1	7/5/2023	China	Jiangsu		EG.5.1*	7/5/2023
hCoV-19/Jiangsu/SZCDC737/2023	EPI_ISL_18105923	GY.1	6/30/2023	China	Jiangsu		XBB.1.16*	6/30/2023
hCoV-19/Jiangsu/SZCDC736/2023	EPI_ISL_18105922	GF.1	6/30/2023	China	Jiangsu		XBB.1.5*	6/30/2023
hCoV-19/Jiangsu/SZCDC735/2023	EPI_ISL_18105921	EG.5.1.1	6/20/2023	China	Jiangsu		EG.5.1*	6/20/2023
hCoV-19/Jiangsu/SZCDC725/2023	EPI_ISL_18105914	XBB.1.16.1	6/19/2023	China	Jiangsu		XBB.1.16*	6/19/2023
hCoV-19/Jiangsu/SZCDC718/2023	EPI_ISL_18105907	HK.4	6/27/2023	China	Jiangsu		EG.5.1*	6/27/2023
hCoV-19/Jiangsu/SZCDC717/2023	EPI_ISL_18105906	FL.4	6/19/2023	China	Jiangsu		XBB.1.9.1*	6/19/2023
hCoV-19/Jiangsu/NTCDC166/2023	EPI_ISL_18105904	XBB.1.16.1	7/10/2023	China	Jiangsu		XBB.1.16*	7/10/2023
hCoV-19/Jiangsu/NTCDC164/2023	EPI_ISL_18105902	GF.1	7/10/2023	China	Jiangsu		XBB.1.5*	7/10/2023
hCoV-19/Jiangsu/NTCDC163/2023	EPI_ISL_18105901	HK.3	7/10/2023	China	Jiangsu		EG.5.1*	7/10/2023
hCoV-19/Jiangsu/CZCDC220/2023	EPI_ISL_18105890	FL.4	6/28/2023	China	Jiangsu		XBB.1.9.1*	6/28/2023
hCoV-19/Jiangsu/CZCDC219/2023	EPI_ISL_18105889	XBB.1.16.1	7/3/2023	China	Jiangsu		XBB.1.16*	7/3/2023
hCoV-19/Jiangsu/CZCDC214/2023	EPI_ISL_18105884	GF.1	6/28/2023	China	Jiangsu		XBB.1.5*	6/28/2023
hCoV-19/Shanghai/SCDC-XG07-11204/2023	EPI_ISL_18105829	FL.1.5.1	7/25/2023	China	Shanghai		XBB.1.9.1*	7/25/2023
hCoV-19/Shanghai/SCDC-XG07-10978/2023	EPI_ISL_18105739	FL.15	7/24/2023	China	Shanghai		XBB.1.9.1*	7/24/2023
hCoV-19/Shanghai/SCDC-HG0803-2912-2/2023	EPI_ISL_18105653	FY.2	8/1/2023	China	Shanghai		XBB.1.22.1*	8/1/2023
hCoV-19/Shanghai/SCDC-HG0803-2908-2/2023	EPI_ISL_18105649	EG.1.6	8/1/2023	China	Shanghai		Others	8/1/2023
hCoV-19/Shanghai/SCDC-HG0802-2900-2/2023	EPI_ISL_18105642	EG.1.6	7/31/2023	China	Shanghai		Others	7/31/2023
hCoV-19/Shanghai/SCDC-HG0802-2891-2/2023	EPI_ISL_18105635	EG.5.1.1	7/31/2023	China	Shanghai		EG.5.1*	7/31/2023
hCoV-19/Shanghai/SCDC-HG0801-2875/2023	EPI_ISL_18105620	FY.2	7/30/2023	China	Shanghai		XBB.1.22.1*	7/30/2023
hCoV-19/Shanghai/SCDC-HG0731-2858/2023	EPI_ISL_18105607	EG.1	7/29/2023	China	Shanghai		Others	7/29/2023
hCoV-19/Shanghai/SCDC-HG0731-2853/2023	EPI_ISL_18105603	FY.2.1	7/29/2023	China	Shanghai		XBB.1.22.1*	7/29/2023
hCoV-19/Shanghai/SCDC-HG0731-2850/2023	EPI_ISL_18105601	FY.3.1	7/29/2023	China	Shanghai		XBB.1.22.1*	7/29/2023
hCoV-19/Shanghai/SCDC-HG0728-2816/2023	EPI_ISL_18105581	FL.1.5.1	7/26/2023	China	Shanghai		XBB.1.9.1*	7/26/2023
hCoV-19/Shanghai/SCDC-HG0728-2811/2023	EPI_ISL_18105577	FR.1.1	7/26/2023	China	Shanghai		BA.2.75*	7/26/2023
hCoV-19/Hubei/HCDC-XY2468/2023	EPI_ISL_18105554	FY.3.1	8/1/2023	China	Hubei	Xiangyang	XBB.1.22.1*	8/1/2023
hCoV-19/Hubei/HCDC-SY2461/2023	EPI_ISL_18105532	FL.4.10	7/26/2023	China	Hubei	Shiyan	XBB.1.9.1*	7/26/2023
hCoV-19/Hubei/HCDC-SY2456/2023	EPI_ISL_18105527	FL.4	7/19/2023	China	Hubei	Shiyan	XBB.1.9.1*	7/19/2023
hCoV-19/Hubei/HCDC-SY2455/2023	EPI_ISL_18105526	FY.3.1	7/24/2023	China	Hubei	Shiyan	XBB.1.22.1*	7/24/2023
hCoV-19/Taiwan/CDC-W29637/2023	EPI_ISL_18101324	HH.1	7/4/2023	China	Taiwan		Others	7/4/2023
hCoV-19/Taiwan/CDC-W29608/2023	EPI_ISL_18101322	FU.1	7/4/2023	China	Taiwan		XBB.1.16*	7/4/2023
hCoV-19/Taiwan/CDC-F85853/2023	EPI_ISL_18101316	EG.1	6/30/2023	China	Taiwan		Others	6/30/2023
hCoV-19/Taiwan/CDC-F85883/2023	EPI_ISL_18097875	FU.1	7/1/2023	China	Taiwan		XBB.1.16*	7/1/2023
hCoV-19/Hong Kong/VK23013168/2023	EPI_ISL_18097206	XBB.2.3.2	6/27/2023	China	Hong Kong		Others	6/27/2023
hCoV-19/Hong Kong/VB23134248/2023	EPI_ISL_18097204	XBB.1.42.2	8/3/2023	China	Hong Kong		Others	8/3/2023
hCoV-19/Hubei/HCDC-YC2448/2023	EPI_ISL_18095815	GF.1	5/3/2023	China	Hubei	Yichang	XBB.1.5*	5/3/2023
hCoV-19/Hubei/HCDC-YC2442/2023	EPI_ISL_18095809	XBB.1.16	5/3/2023	China	Hubei	Yichang	XBB.1.16*	5/3/2023
hCoV-19/Hubei/HCDC-YC2441/2023	EPI_ISL_18095808	GF.1	5/3/2023	China	Hubei	Yichang	XBB.1.5*	5/3/2023
hCoV-19/Henan/XCCDC072712/2023	EPI_ISL_18095786	FE.1.1	7/21/2023	China	Henan	Xuchang	Others	7/21/2023
hCoV-19/Henan/XCCDC072711/2023	EPI_ISL_18095785	FE.1.1	7/21/2023	China	Henan	Xuchang	Others	7/21/2023
hCoV-19/Henan/XCCDC072705/2023	EPI_ISL_18095779	FE.1.1.3	7/23/2023	China	Henan	Xuchang	Others	7/23/2023
hCoV-19/Henan/XCCDC072704/2023	EPI_ISL_18095778	HK.3	7/23/2023	China	Henan	Xuchang	EG.5.1*	7/23/2023
hCoV-19/Henan/XCCDC072703/2023	EPI_ISL_18095777	FE.1.1	7/21/2023	China	Henan	Xuchang	Others	7/21/2023
hCoV-19/Hubei/HCDC-XG2318/2023	EPI_ISL_18078326	FL.4	7/5/2023	China	Hubei	Xiaogan	XBB.1.9.1*	7/5/2023
hCoV-19/Hubei/HCDC-XG2313/2023	EPI_ISL_18078321	GF.1	7/5/2023	China	Hubei	Xiaogan	XBB.1.5*	7/5/2023
hCoV-19/Hubei/HCDC-XG2311/2023	EPI_ISL_18078319	GF.1	7/10/2023	China	Hubei	Xiaogan	XBB.1.5*	7/10/2023
hCoV-19/Hubei/HCDC-XG2309/2023	EPI_ISL_18078317	HK.32	7/11/2023	China	Hubei	Xiaogan	EG.5.1*	7/11/2023
hCoV-19/Fujian/FCDC-QZ08S002/2023	EPI_ISL_18078172	FY.3.1	7/30/2023	China	Fujian		XBB.1.22.1*	7/30/2023
hCoV-19/Anhui/HBCDC-C69/2023	EPI_ISL_18078148	FU.1	7/31/2023	China	Anhui	Huaibei	XBB.1.16*	7/31/2023
hCoV-19/Anhui/HBCDC-C67/2023	EPI_ISL_18078146	GF.1	7/16/2023	China	Anhui	Huaibei	XBB.1.5*	7/16/2023
hCoV-19/Anhui/HBCDC-C66/2023	EPI_ISL_18078145	XBB.1.16.1	7/16/2023	China	Anhui	Huaibei	XBB.1.16*	7/16/2023
hCoV-19/Taiwan/CDC-W30071/2023	EPI_ISL_18077710	EG.1	7/12/2023	China	Taiwan		Others	7/12/2023
hCoV-19/Taiwan/CDC-F86303/2023	EPI_ISL_18077701	XBB.2.3.8	7/8/2023	China	Taiwan		Others	7/8/2023
hCoV-19/Taiwan/CDC-W30322/2023	EPI_ISL_18077693	EG.5.1.1	7/16/2023	China	Taiwan		EG.5.1*	7/16/2023
hCoV-19/Taiwan/CDC-W30275/2023	EPI_ISL_18077691	XBB.2.3.8	7/15/2023	China	Taiwan		Others	7/15/2023
hCoV-19/Taiwan/CDC-W30228/2023	EPI_ISL_18077690	HH.1	7/15/2023	China	Taiwan		Others	7/15/2023
hCoV-19/Shanghai/SCDC-XG07-10857/2023	EPI_ISL_18074827	FL.15.2	7/16/2023	China	Shanghai		XBB.1.9.1*	7/16/2023
hCoV-19/Shanghai/SCDC-XG07-10531/2023	EPI_ISL_18074724	GJ.1.2.3	7/13/2023	China	Shanghai		Others	7/13/2023
hCoV-19/Shanghai/SCDC-XG07-10384/2023	EPI_ISL_18074639	XBB.1.16.1	7/2/2023	China	Shanghai		XBB.1.16*	7/2/2023
hCoV-19/Shanghai/SCDC-XG07-10227/2023	EPI_ISL_18074543	GF.1	7/6/2023	China	Shanghai		XBB.1.5*	7/6/2023
hCoV-19/Shanghai/SCDC-615/2023	EPI_ISL_18074511	FR.1.1	7/5/2023	China	Shanghai		BA.2.75*	7/5/2023
hCoV-19/Shanghai/SCDC-HG0727-2807/2023	EPI_ISL_18074426	DV.6.2	7/25/2023	China	Shanghai		BA.2.75*	7/25/2023
hCoV-19/Shanghai/SCDC-HG0727-2800/2023	EPI_ISL_18074419	FL.15	7/25/2023	China	Shanghai		XBB.1.9.1*	7/25/2023
hCoV-19/Shanghai/SCDC-HG0726-2775/2023	EPI_ISL_18074401	FU.2.1	7/24/2023	China	Shanghai		XBB.1.16*	7/24/2023
hCoV-19/Shanghai/SCDC-HG0725-2754-2/2023	EPI_ISL_18074389	FE.1.1.3	7/23/2023	China	Shanghai		Others	7/23/2023
hCoV-19/Guizhou/GZSCDC-QXNCX209/2023	EPI_ISL_18074220	EG.5.1.1	7/18/2023	China	Guizhou		EG.5.1*	7/18/2023
hCoV-19/Shandong/WCDC-248/2023	EPI_ISL_18070911	BF.7.14	3/31/2023	China	Shandong	Weihai	BF.7.14*	3/31/2023
hCoV-19/Shandong/WCDC-241/2023	EPI_ISL_18070904	DY.4	3/31/2023	China	Shandong	Weihai	BA.5.2.48*	3/31/2023
hCoV-19/Shandong/WCDC-229/2023	EPI_ISL_18070892	BF.7.14.5	3/24/2023	China	Shandong	Weihai	BF.7.14*	3/24/2023
hCoV-19/Shandong/WCDC-221/2023	EPI_ISL_18070884	DY.2	3/24/2023	China	Shandong	Weihai	BA.5.2.48*	3/24/2023
hCoV-19/Shandong/WCDC-212/2023	EPI_ISL_18070875	BF.7.14.5	3/17/2023	China	Shandong	Weihai	BF.7.14*	3/17/2023
hCoV-19/Shandong/WCDC-202/2023	EPI_ISL_18070865	DY.4	3/17/2023	China	Shandong	Weihai	BA.5.2.48*	3/17/2023
hCoV-19/Shandong/WCDC-201/2023	EPI_ISL_18070864	DY.4	3/17/2023	China	Shandong	Weihai	BA.5.2.48*	3/17/2023
hCoV-19/Shandong/WCDC-200/2023	EPI_ISL_18070863	DY.4	3/17/2023	China	Shandong	Weihai	BA.5.2.48*	3/17/2023
hCoV-19/Shandong/WCDC-199/2023	EPI_ISL_18070862	DY.4	3/17/2023	China	Shandong	Weihai	BA.5.2.48*	3/17/2023
hCoV-19/Shandong/WCDC-198/2023	EPI_ISL_18070861	BF.7.14	3/10/2023	China	Shandong	Weihai	BF.7.14*	3/10/2023
hCoV-19/Shandong/WCDC-182/2023	EPI_ISL_18070845	DY.2	3/10/2023	China	Shandong	Weihai	BA.5.2.48*	3/10/2023
hCoV-19/Shandong/WCDC-173/2023	EPI_ISL_18070836	BF.7.14.1	3/3/2023	China	Shandong	Weihai	BF.7.14*	3/3/2023
hCoV-19/Shandong/WCDC-171/2023	EPI_ISL_18070834	BF.7.14.5	3/3/2023	China	Shandong	Weihai	BF.7.14*	3/3/2023
hCoV-19/Shandong/WCDC-160/2023	EPI_ISL_18070823	DY.4	3/3/2023	China	Shandong	Weihai	BA.5.2.48*	3/3/2023
hCoV-19/Shandong/WCDC-159/2023	EPI_ISL_18070822	DY.4	3/3/2023	China	Shandong	Weihai	BA.5.2.48*	3/3/2023
hCoV-19/Shandong/WCDC-143/2023	EPI_ISL_18070806	BF.7.14.1	2/24/2023	China	Shandong	Weihai	BF.7.14*	2/24/2023
hCoV-19/Shandong/WCDC-137/2023	EPI_ISL_18070800	BF.7.14.1	2/24/2023	China	Shandong	Weihai	BF.7.14*	2/24/2023
hCoV-19/Shandong/WCDC-132/2023	EPI_ISL_18070795	DY.4	2/24/2023	China	Shandong	Weihai	BA.5.2.48*	2/24/2023
hCoV-19/Shandong/WCDC-131/2023	EPI_ISL_18070794	DY.4	2/24/2023	China	Shandong	Weihai	BA.5.2.48*	2/24/2023
hCoV-19/Shandong/WCDC-129/2023	EPI_ISL_18070792	DY.2	2/24/2023	China	Shandong	Weihai	BA.5.2.48*	2/24/2023
hCoV-19/Shandong/WCDC-115/2023	EPI_ISL_18070778	DY.4	2/17/2023	China	Shandong	Weihai	BA.5.2.48*	2/17/2023
hCoV-19/Shandong/WCDC-107/2023	EPI_ISL_18070770	BF.7.14.5	2/10/2023	China	Shandong	Weihai	BF.7.14*	2/10/2023
hCoV-19/Shandong/WCDC-101/2023	EPI_ISL_18070764	BF.7.14	2/10/2023	China	Shandong	Weihai	BF.7.14*	2/10/2023
hCoV-19/Shandong/WCDC-097/2023	EPI_ISL_18070760	DY.1	2/10/2023	China	Shandong	Weihai	BA.5.2.48*	2/10/2023
hCoV-19/Shandong/WCDC-081/2023	EPI_ISL_18070744	DY.4	2/3/2023	China	Shandong	Weihai	BA.5.2.48*	2/3/2023
hCoV-19/Shandong/WCDC-039/2023	EPI_ISL_18070702	BF.7.14.1	1/13/2023	China	Shandong	Weihai	BF.7.14*	1/13/2023
hCoV-19/Shandong/WCDC-024/2023	EPI_ISL_18070687	BN.1.5	1/3/2023	China	Shandong	Weihai	BA.2.75*	1/3/2023
hCoV-19/Shandong/WCDC-010/2023	EPI_ISL_18070673	DY.4	1/3/2023	China	Shandong	Weihai	BA.5.2.48*	1/3/2023
hCoV-19/Shandong/WCDC-331/2022	EPI_ISL_18070663	DY.4	12/30/2022	China	Shandong	Weihai	BA.5.2.48*	12/30/2022
hCoV-19/Shandong/WCDC-326/2022	EPI_ISL_18070658	BF.7.14.1	12/30/2022	China	Shandong	Weihai	BF.7.14*	12/30/2022
hCoV-19/Shandong/WCDC-288/2022	EPI_ISL_18070620	DZ.1	12/16/2022	China	Shandong	Weihai	Others	12/16/2022
hCoV-19/Taiwan/CDC-F86628/2023	EPI_ISL_18067334	HK.27	7/16/2023	China	Taiwan		EG.5.1*	7/16/2023
hCoV-19/Taiwan/CDC-F86524/2023	EPI_ISL_18067327	XBB.2.3.8	7/13/2023	China	Taiwan		Others	7/13/2023
hCoV-19/Taiwan/CDC-W30595/2023	EPI_ISL_18066442	HH.1	7/22/2023	China	Taiwan		Others	7/22/2023
hCoV-19/Taiwan/CDC-F86710/2023	EPI_ISL_18066439	XBB.1.9.1	7/16/2023	China	Taiwan		XBB.1.9.1*	7/16/2023
hCoV-19/Taiwan/CDC-F86693/2023	EPI_ISL_18066438	EG.1	7/14/2023	China	Taiwan		Others	7/14/2023
hCoV-19/Taiwan/CDC-F86654/2023	EPI_ISL_18066434	FL.2.3	7/14/2023	China	Taiwan		XBB.1.9.1*	7/14/2023
hCoV-19/Sichuan/NCSCDC-51/2023	EPI_ISL_18060861	FY.3.2	6/25/2023	China	Sichuan	Nanchong	XBB.1.22.1*	6/25/2023
hCoV-19/Sichuan/MYCDC-XGCX241/2023	EPI_ISL_18060859	FY.3.2	7/17/2023	China	Sichuan	Mianyang	XBB.1.22.1*	7/17/2023
hCoV-19/Shanghai/SCDC-HG0723-2721/2023	EPI_ISL_18060801	FL.1.5.1	7/21/2023	China	Shanghai		XBB.1.9.1*	7/21/2023
hCoV-19/Shanghai/SCDC-HG0723-2719/2023	EPI_ISL_18060799	FL.15.2	7/21/2023	China	Shanghai		XBB.1.9.1*	7/21/2023
hCoV-19/Anhui/HCDC-118/2023	EPI_ISL_18058647	FU.1	7/11/2023	China	Anhui		XBB.1.16*	7/11/2023
hCoV-19/Anhui/HCDC-113/2023	EPI_ISL_18058642	FY.3.1	7/4/2023	China	Anhui		XBB.1.22.1*	7/4/2023
hCoV-19/Anhui/HCDC-108/2023	EPI_ISL_18058637	FL.2.3	6/26/2023	China	Anhui		XBB.1.9.1*	6/26/2023
hCoV-19/Anhui/HCDC-99/2023	EPI_ISL_18058636	EG.5.1.1	6/19/2023	China	Anhui		EG.5.1*	6/19/2023
hCoV-19/Anhui/HCDC-100/2023	EPI_ISL_18058627	FE.1.1	6/20/2023	China	Anhui		Others	6/20/2023
hCoV-19/Gansu/BYCDC135/2023	EPI_ISL_18055783	FL.16	7/10/2023	China	Gansu	Baiyin	XBB.1.9.1*	7/10/2023
hCoV-19/Gansu/BYCDC130/2023	EPI_ISL_18055778	EG.5.1.1	7/13/2023	China	Gansu	Baiyin	EG.5.1*	7/13/2023
hCoV-19/Gansu/BYCDC128/2023	EPI_ISL_18055776	EG.5.1.1	7/13/2023	China	Gansu	Baiyin	EG.5.1*	7/13/2023
hCoV-19/Gansu/BYCDC124/2023	EPI_ISL_18055772	EG.5.1.1	7/19/2023	China	Gansu	Baiyin	EG.5.1*	7/19/2023
hCoV-19/Gansu/BYCDC123/2023	EPI_ISL_18055771	FL.24	6/21/2023	China	Gansu	Baiyin	XBB.1.9.1*	6/21/2023
hCoV-19/Fujian/FCDC-ZZ1502/2023	EPI_ISL_18055591	FY.3.2	7/19/2023	China	Fujian	Zhangzhou	XBB.1.22.1*	7/19/2023
hCoV-19/Fujian/FCDC-QZ07S037/2023	EPI_ISL_18055587	FY.3.2	7/14/2023	China	Fujian	Quanzhou	XBB.1.22.1*	7/14/2023
hCoV-19/Hong Kong/VK23013034/2023	EPI_ISL_18051902	XBB.1.42.2	7/1/2023	China	Hong Kong		Others	7/1/2023
hCoV-19/Hong Kong/VK23012955/2023	EPI_ISL_18051895	EG.5.1.1	7/14/2023	China	Hong Kong		EG.5.1*	7/14/2023
hCoV-19/Hong Kong/VK23012914/2023	EPI_ISL_18051892	FL.2.3	7/7/2023	China	Hong Kong		XBB.1.9.1*	7/7/2023
hCoV-19/Hong Kong/VK23012882/2023	EPI_ISL_18051890	HK.28	7/5/2023	China	Hong Kong		EG.5.1*	7/5/2023
hCoV-19/Sichuan/GYCDC-CX171/2023	EPI_ISL_18049860	FY.3.2	7/10/2023	China	Sichuan	Guangyuan	XBB.1.22.1*	7/10/2023
hCoV-19/Sichuan/ZGCDC-zgxg338/2023	EPI_ISL_18049827	FY.3.1	7/5/2023	China	Sichuan	Zigong	XBB.1.22.1*	7/5/2023
hCoV-19/Sichuan/ZYCDC-ZY1512/2023	EPI_ISL_18049821	FY.3.1	7/6/2023	China	Sichuan	Zi'yang	XBB.1.22.1*	7/6/2023
hCoV-19/Sichuan/NJCDC-0718-2/2023	EPI_ISL_18049811	FL.4	7/4/2023	China	Sichuan	Neijiang	XBB.1.9.1*	7/4/2023
