strain,lineage,country,province,date
EPI_ISL_16902543,BN.1.3,China,Hong Kong,1/31/2023
EPI_ISL_16880257,BF.7.14,China,Xinjiang,1/31/2023
EPI_ISL_17488735,BF.7.14,China,Others,1/31/2023
EPI_ISL_17685280,CM.12,China,Hong Kong,2/1/2023
EPI_ISL_17488605,BF.7.14,China,Fujian,2/1/2023
EPI_ISL_17488484,BF.7.14.1,China,Fujian,2/1/2023
EPI_ISL_17488482,BA.5.2.48,China,Fujian,2/1/2023
EPI_ISL_17488475,BF.7.14.1,China,Fujian,2/1/2023
EPI_ISL_17170787,BF.7.14,China,Guangdong,2/1/2023
EPI_ISL_17068997,BA.5.2.48,China,Jiangsu,2/1/2023
EPI_ISL_17031812,BF.7.14,China,Hebei,2/1/2023
EPI_ISL_16977223,BF.7.14.1,China,Fujian,2/1/2023
EPI_ISL_16977217,BA.5.2.48,China,Fujian,2/1/2023
EPI_ISL_16977191,BF.7.14,China,Fujian,2/1/2023
EPI_ISL_16970257,DY.1,China,Sichuan,2/1/2023
EPI_ISL_16970226,BF.7.14.4,China,Sichuan,2/1/2023
EPI_ISL_16970207,BA.5.2.48,China,Shanxi,2/1/2023
EPI_ISL_17488090,DY.4,China,Zhejiang,2/1/2023
EPI_ISL_17488092,DY.4,China,Zhejiang,2/1/2023
EPI_ISL_17488093,BA.5.1.32,China,Zhejiang,2/1/2023
EPI_ISL_17488094,BF.7.14.3,China,Zhejiang,2/1/2023
EPI_ISL_16977189,DY.4,China,Fujian,2/1/2023
EPI_ISL_17488573,BF.7.14,China,Fujian,2/2/2023
EPI_ISL_17031827,BF.7.14,China,Hebei,2/2/2023
EPI_ISL_17031820,BA.5.1,China,Hebei,2/2/2023
EPI_ISL_17031816,BA.5.2.48,China,Hebei,2/2/2023
EPI_ISL_17025973,BF.7.14,China,Anhui,2/2/2023
EPI_ISL_16977199,BF.7.14,China,Fujian,2/2/2023
EPI_ISL_16955408,BA.5.1,China,Beijing,2/2/2023
EPI_ISL_16902551,BN.1.3,China,Hong Kong,2/2/2023
EPI_ISL_16902516,BQ.1.1.24,China,Hong Kong,2/2/2023
EPI_ISL_17488392,BF.7.14,China,Zhejiang,2/2/2023
EPI_ISL_17494137,BA.5.2.48,China,Others,2/2/2023
EPI_ISL_17494143,BF.7.14,China,Others,2/2/2023
EPI_ISL_17494414,BA.5.2.48,China,Others,2/2/2023
EPI_ISL_18070744,DY.4,China,Others,2/3/2023
EPI_ISL_17029129,BF.7.14,China,Hong Kong,2/3/2023
EPI_ISL_17029085,BN.1.3,China,Hong Kong,2/3/2023
EPI_ISL_16977201,BF.7.14,China,Fujian,2/3/2023
EPI_ISL_16977155,BF.7.14.4,China,Fujian,2/3/2023
EPI_ISL_16902519,BA.5.2,China,Hong Kong,2/3/2023
EPI_ISL_16873124,BA.5.2.49,China,Others,2/3/2023
EPI_ISL_16873122,BA.5.2.49,China,Others,2/3/2023
EPI_ISL_16873106,BA.5.2.48,China,Anhui,2/3/2023
EPI_ISL_16852297,BA.5.2.49,China,Anhui,2/3/2023
EPI_ISL_17494795,BF.7.14.4,China,Gansu,2/3/2023
EPI_ISL_17494800,BF.7.14.4,China,Gansu,2/3/2023
EPI_ISL_17494807,BF.7.14.4,China,Gansu,2/3/2023
EPI_ISL_17488289,DY.4,China,Zhejiang,2/3/2023
EPI_ISL_17488290,BA.5.1.32,China,Zhejiang,2/3/2023
EPI_ISL_17488294,BF.7.14.3,China,Zhejiang,2/3/2023
EPI_ISL_17488391,BA.5.1.32,China,Zhejiang,2/3/2023
EPI_ISL_17685286,BQ.1,China,Hong Kong,2/4/2023
EPI_ISL_17685285,BN.1.3,China,Hong Kong,2/4/2023
EPI_ISL_16873129,BA.5.2.49,China,Others,2/4/2023
EPI_ISL_17488083,DY.4,China,Zhejiang,2/4/2023
EPI_ISL_17170880,BN.1.2,China,Guangdong,2/5/2023
EPI_ISL_17170878,BN.1.2,China,Guangdong,2/5/2023
EPI_ISL_17031836,BF.7.14,China,Hebei,2/5/2023
EPI_ISL_17029132,CH.1.1.3,China,Hong Kong,2/5/2023
EPI_ISL_17029127,BA.5.2.1,China,Hong Kong,2/5/2023
EPI_ISL_16869326,BF.7.14,China,Xinjiang,2/5/2023
EPI_ISL_16869324,BA.5.2.48,China,Xinjiang,2/5/2023
EPI_ISL_17488111,XBB.1.5,China,Zhejiang,2/5/2023
EPI_ISL_17493492,DY.4,China,Guangdong,2/5/2023
EPI_ISL_17227546,BA.5.2.49,China,Anhui,2/6/2023
EPI_ISL_17170844,BF.7.14,China,Guangdong,2/6/2023
EPI_ISL_17031851,BA.5.2.49,China,Hebei,2/6/2023
EPI_ISL_17031841,BA.5.1,China,Hebei,2/6/2023
EPI_ISL_17029133,BF.7.14,China,Hong Kong,2/6/2023
EPI_ISL_16987141,BN.1.1,China,Taiwan,2/6/2023
EPI_ISL_16970208,BA.5.2.48,China,Shanxi,2/6/2023
EPI_ISL_16921660,BA.5.2.6,China,Anhui,2/6/2023
EPI_ISL_16911078,DY.4,China,Hubei,2/6/2023
EPI_ISL_16902522,BA.5.2,China,Hong Kong,2/6/2023
EPI_ISL_17488069,DZ.1,China,Zhejiang,2/6/2023
EPI_ISL_17488070,DY.4,China,Zhejiang,2/6/2023
EPI_ISL_17494397,BA.5.2.48,China,Others,2/6/2023
EPI_ISL_17489864,BF.7.14,China,Guangdong,2/7/2023
EPI_ISL_17489796,BF.7.14.1,China,Guangdong,2/7/2023
EPI_ISL_17489792,DY.2,China,Guangdong,2/7/2023
EPI_ISL_17170884,BN.1.2,China,Guangdong,2/7/2023
EPI_ISL_17075669,BN.1.3,China,Taiwan,2/7/2023
EPI_ISL_17031857,BF.7.14,China,Hebei,2/7/2023
EPI_ISL_17029136,BA.5.2,China,Hong Kong,2/7/2023
EPI_ISL_17029080,CH.1.1.3,China,Hong Kong,2/7/2023
EPI_ISL_17027425,BF.7.14,China,Others,2/7/2023
EPI_ISL_17027403,BF.7.14,China,Others,2/7/2023
EPI_ISL_16899509,BA.5.2.48,China,Anhui,2/7/2023
EPI_ISL_17162751,BF.7.14,China,Beijing,2/8/2023
EPI_ISL_17162745,BF.7.14,China,Beijing,2/8/2023
EPI_ISL_17027420,BF.7.14,China,Others,2/8/2023
EPI_ISL_17027419,BA.5.2.48,China,Others,2/8/2023
EPI_ISL_17027404,BA.5.2.48,China,Others,2/8/2023
EPI_ISL_16987143,BN.1.2,China,Taiwan,2/8/2023
EPI_ISL_16899532,BF.7.14,China,Anhui,2/8/2023
EPI_ISL_16899531,BA.5.1,China,Anhui,2/8/2023
EPI_ISL_16899525,BF.7.14,China,Anhui,2/8/2023
EPI_ISL_16899516,BF.7.14,China,Anhui,2/8/2023
EPI_ISL_17620437,DY.2,China,Beijing,2/8/2023
EPI_ISL_17489753,BF.7.14.1,China,Guangdong,2/8/2023
EPI_ISL_17501673,BA.5.2.48,China,Xinjiang,2/8/2023
EPI_ISL_17685297,CM.12,China,Hong Kong,2/9/2023
EPI_ISL_17488549,BA.5.2.49,China,Fujian,2/9/2023
EPI_ISL_17488543,BA.5.2.49,China,Fujian,2/9/2023
EPI_ISL_17150526,BA.5.2,China,Gansu,2/9/2023
EPI_ISL_17089530,BA.5.2.26,China,Taiwan,2/9/2023
EPI_ISL_17068959,BF.7.14,China,Jiangsu,2/9/2023
EPI_ISL_17031872,BA.5.2.48,China,Hebei,2/9/2023
EPI_ISL_17031871,BA.5.2.49,China,Hebei,2/9/2023
EPI_ISL_17031870,BA.5.2.49,China,Hebei,2/9/2023
EPI_ISL_17031869,BA.5.2.49,China,Hebei,2/9/2023
EPI_ISL_16977254,BA.5.2.49,China,Fujian,2/9/2023
EPI_ISL_16977250,BA.5.2.49,China,Fujian,2/9/2023
EPI_ISL_17501686,BF.7.14.1,China,Xinjiang,2/9/2023
EPI_ISL_18070770,BF.7.14.5,China,Others,2/10/2023
EPI_ISL_18070764,BF.7.14,China,Others,2/10/2023
EPI_ISL_18070760,DY.1,China,Others,2/10/2023
EPI_ISL_17493147,BF.7.14.4,China,Sichuan,2/10/2023
EPI_ISL_17185742,BA.5.2.48,China,Others,2/10/2023
EPI_ISL_17031882,BF.7.14,China,Hebei,2/10/2023
EPI_ISL_17029140,BF.7.14,China,Hong Kong,2/10/2023
EPI_ISL_17027417,BF.7.14,China,Others,2/10/2023
EPI_ISL_16970270,BF.7.14.4,China,Sichuan,2/10/2023
EPI_ISL_16968175,BA.5.2.48,China,Others,2/10/2023
EPI_ISL_16968163,BF.7.14,China,Others,2/10/2023
EPI_ISL_16968123,BF.7.14,China,Others,2/10/2023
EPI_ISL_16905040,BA.5.2.48,China,Others,2/10/2023
EPI_ISL_16902578,BA.5.2.48,China,Others,2/10/2023
EPI_ISL_16899536,BA.5.2.48,China,Anhui,2/10/2023
EPI_ISL_17494709,BA.5.2.50,China,Xinjiang,2/10/2023
EPI_ISL_17089532,XBB.1,China,Taiwan,2/11/2023
EPI_ISL_16968158,BA.5.2.48,China,Others,2/11/2023
EPI_ISL_16968152,BF.7.14,China,Others,2/11/2023
EPI_ISL_16968148,BF.7.14,China,Others,2/11/2023
EPI_ISL_17170932,BN.1.3,China,Guangdong,2/12/2023
EPI_ISL_17170929,BN.1.3,China,Guangdong,2/12/2023
EPI_ISL_17089533,XBB.1.5,China,Taiwan,2/12/2023
EPI_ISL_17072161,BA.5.2.48,China,Jiangsu,2/12/2023
EPI_ISL_17493481,BF.7.14.1,China,Guangdong,2/12/2023
EPI_ISL_17488557,BF.7.14.1,China,Fujian,2/13/2023
EPI_ISL_17488464,BF.7.14.1,China,Fujian,2/13/2023
EPI_ISL_17487587,BA.5.2.48,China,Hubei,2/13/2023
EPI_ISL_17487585,BA.5.2.48,China,Hubei,2/13/2023
EPI_ISL_17197938,BF.7.14,China,Anhui,2/13/2023
EPI_ISL_17162734,BA.5.1,China,Beijing,2/13/2023
EPI_ISL_17150525,BA.5.2,China,Gansu,2/13/2023
EPI_ISL_17104728,XBB.1.5,China,Taiwan,2/13/2023
EPI_ISL_17032004,BA.5.2.48,China,Hubei,2/13/2023
EPI_ISL_17032002,BA.5.2.48,China,Hubei,2/13/2023
EPI_ISL_17031904,BF.7.14,China,Hebei,2/13/2023
EPI_ISL_17031902,BA.5.1,China,Hebei,2/13/2023
EPI_ISL_17031901,BA.5.1,China,Hebei,2/13/2023
EPI_ISL_17027412,BA.5.2.21,China,Others,2/13/2023
EPI_ISL_16977245,BF.7.14,China,Fujian,2/13/2023
EPI_ISL_16977235,BF.7.14.1,China,Fujian,2/13/2023
EPI_ISL_17488466,DY.1.1,China,Fujian,2/14/2023
EPI_ISL_17199743,BF.7.14,China,Heilongjiang,2/14/2023
EPI_ISL_17197940,BF.7.14,China,Anhui,2/14/2023
EPI_ISL_17197939,BA.5.2.48,China,Anhui,2/14/2023
EPI_ISL_17185756,BA.5.2.48,China,Others,2/14/2023
EPI_ISL_17031917,BF.7.14,China,Hebei,2/14/2023
EPI_ISL_17031915,BA.5.2.48,China,Hebei,2/14/2023
EPI_ISL_17031912,BF.7.14,China,Hebei,2/14/2023
EPI_ISL_16977240,BA.5.2.48,China,Fujian,2/14/2023
EPI_ISL_17492744,BA.5.2.48,China,Others,2/14/2023
EPI_ISL_17489214,DY.4,China,Fujian,2/15/2023
EPI_ISL_17261653,CM.12,China,Guangdong,2/15/2023
EPI_ISL_17031930,BF.7.14,China,Hebei,2/15/2023
EPI_ISL_17031923,BA.5.1,China,Hebei,2/15/2023
EPI_ISL_17789932,BF.7.14,China,Others,2/16/2023
EPI_ISL_17685311,BQ.1.1.31,China,Hong Kong,2/16/2023
EPI_ISL_17489162,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17489159,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17489152,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17489151,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17489141,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17214237,BF.7.14,China,Henan,2/16/2023
EPI_ISL_17187485,BA.5.2.1,China,Hong Kong,2/16/2023
EPI_ISL_17185754,BA.5.2.48,China,Others,2/16/2023
EPI_ISL_17072205,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17072195,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17072194,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17072187,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17072184,BF.7.14,China,Fujian,2/16/2023
EPI_ISL_17045280,BF.7.14,China,Others,2/16/2023
EPI_ISL_17031942,BA.5.2.48,China,Hebei,2/16/2023
EPI_ISL_17495545,BA.5.2.50,China,Xinjiang,2/16/2023
EPI_ISL_17495546,BA.5.2.50,China,Xinjiang,2/16/2023
EPI_ISL_17493397,BF.7.14,China,Others,2/16/2023
EPI_ISL_17501669,BA.5.2.48,China,Xinjiang,2/16/2023
EPI_ISL_18070778,DY.4,China,Others,2/17/2023
EPI_ISL_17489910,BN.1.2,China,Guangdong,2/17/2023
EPI_ISL_17308730,BN.1.1,China,Taiwan,2/17/2023
EPI_ISL_17104732,BN.1.2,China,Taiwan,2/17/2023
EPI_ISL_17072207,BA.5.2.48,China,Fujian,2/17/2023
EPI_ISL_17072144,BA.5.2.48,China,Jiangsu,2/17/2023
EPI_ISL_17072130,XBB.1.5,China,Jiangsu,2/17/2023
EPI_ISL_17494912,BF.7.14,China,Jiangxi,2/18/2023
EPI_ISL_17253639,BA.5.2,China,Taiwan,2/18/2023
EPI_ISL_17199739,BA.5.2.48,China,Heilongjiang,2/18/2023
EPI_ISL_17199737,BA.5.2.48,China,Heilongjiang,2/18/2023
EPI_ISL_17162775,XBB.1,China,Beijing,2/18/2023
EPI_ISL_17150194,BF.7.14,China,Henan,2/18/2023
EPI_ISL_17104733,BN.1.3,China,Taiwan,2/18/2023
EPI_ISL_17075773,BA.5.2.48,China,Others,2/18/2023
EPI_ISL_17075771,BA.5.2.48,China,Others,2/18/2023
EPI_ISL_17075764,BF.7.14,China,Others,2/18/2023
EPI_ISL_17072131,BA.5.2.48,China,Jiangsu,2/18/2023
EPI_ISL_17072241,DY.1.1,China,Fujian,2/18/2023
EPI_ISL_17253640,BN.1.3,China,Taiwan,2/19/2023
EPI_ISL_17227564,BA.5.2.48,China,Henan,2/19/2023
EPI_ISL_17187461,BQ.1.1.1,China,Hong Kong,2/19/2023
EPI_ISL_17031957,BA.5.2.48,China,Hebei,2/19/2023
EPI_ISL_17620393,BA.5.1.32,China,Beijing,2/19/2023
EPI_ISL_17493471,DY.4,China,Guangdong,2/19/2023
EPI_ISL_17489916,BN.1.2,China,Guangdong,2/20/2023
EPI_ISL_17253638,BA.5.2,China,Taiwan,2/20/2023
EPI_ISL_17227397,BF.7.14,China,Henan,2/20/2023
EPI_ISL_17197718,BA.5.2.49,China,Jiangsu,2/20/2023
EPI_ISL_17170956,BA.5.2.48,China,Guangdong,2/20/2023
EPI_ISL_17104710,BA.5.1,China,Anhui,2/20/2023
EPI_ISL_17104709,BA.5.1,China,Anhui,2/20/2023
EPI_ISL_17075749,BA.5.2.49,China,Others,2/20/2023
EPI_ISL_17072129,XBB.1.5,China,Jiangsu,2/20/2023
EPI_ISL_17072128,XBB.1.5,China,Jiangsu,2/20/2023
EPI_ISL_17072127,XBB.1.5,China,Jiangsu,2/20/2023
EPI_ISL_17072126,XBB.1.5,China,Jiangsu,2/20/2023
EPI_ISL_17031974,BA.5.2.48,China,Hebei,2/20/2023
EPI_ISL_17489734,EM.1,China,Guangdong,2/20/2023
EPI_ISL_17494499,unknown,China,Gansu,2/20/2023
EPI_ISL_17489914,BN.1.2,China,Guangdong,2/21/2023
EPI_ISL_17489837,BN.1.3.9,China,Guangdong,2/21/2023
EPI_ISL_17487568,DY.4,China,Hubei,2/21/2023
EPI_ISL_17283538,BN.1.1,China,Taiwan,2/21/2023
EPI_ISL_17228009,BF.7.14,China,Others,2/21/2023
EPI_ISL_17199803,BF.7.14,China,Heilongjiang,2/21/2023
EPI_ISL_17187465,BQ.1.1,China,Hong Kong,2/21/2023
EPI_ISL_17171010,BF.7.14,China,Guangdong,2/21/2023
EPI_ISL_17171002,BA.5.2.48,China,Guangdong,2/21/2023
EPI_ISL_17170982,XBB.1,China,Guangdong,2/21/2023
EPI_ISL_17170966,BA.5.2.49,China,Guangdong,2/21/2023
EPI_ISL_17170960,BF.7.14,China,Guangdong,2/21/2023
EPI_ISL_17104685,DY.4,China,Hubei,2/21/2023
EPI_ISL_17104793,DY.1,China,Sichuan,2/21/2023
EPI_ISL_17495319,DY.1.1,China,Yunnan,2/21/2023
EPI_ISL_17492737,BF.7.14,China,Others,2/21/2023
EPI_ISL_17492738,DY.1,China,Others,2/21/2023
EPI_ISL_17494915,BF.7.14,China,Jiangxi,2/22/2023
EPI_ISL_17261675,CM.12,China,Guangdong,2/22/2023
EPI_ISL_17261674,CM.12,China,Guangdong,2/22/2023
EPI_ISL_17197682,BA.5.2.48,China,Jiangsu,2/22/2023
EPI_ISL_17186837,BA.5.2.49,China,Henan,2/22/2023
EPI_ISL_17171025,BA.5.2.49,China,Guangdong,2/22/2023
EPI_ISL_17495265,BF.7.14,China,Others,2/22/2023
EPI_ISL_17488154,XBB.1.5,China,Zhejiang,2/22/2023
EPI_ISL_17492741,BF.7.14,China,Others,2/22/2023
EPI_ISL_17494979,BF.7.14,China,Gansu,2/22/2023
EPI_ISL_17323603,XBB.1.5,China,Taiwan,2/23/2023
EPI_ISL_17199826,BF.7.14,China,Heilongjiang,2/23/2023
EPI_ISL_17104755,BA.5.2.48,China,Others,2/23/2023
EPI_ISL_17104682,DY.4,China,Hubei,2/23/2023
EPI_ISL_17494901,BF.7.14.4,China,Gansu,2/23/2023
EPI_ISL_17493395,DY.4,China,Others,2/23/2023
EPI_ISL_17494977,BF.7.14,China,Gansu,2/23/2023
EPI_ISL_18070806,BF.7.14.1,China,Others,2/24/2023
EPI_ISL_18070800,BF.7.14.1,China,Others,2/24/2023
EPI_ISL_18070795,DY.4,China,Others,2/24/2023
EPI_ISL_18070794,DY.4,China,Others,2/24/2023
EPI_ISL_18070792,DY.2,China,Others,2/24/2023
EPI_ISL_17858253,BA.5.2,China,Others,2/24/2023
EPI_ISL_17323612,XBB.1.5,China,Taiwan,2/24/2023
EPI_ISL_17273679,BA.5.2.48,China,Yunnan,2/24/2023
EPI_ISL_17261663,XBB.1.5,China,Guangdong,2/24/2023
EPI_ISL_17261662,XBB.1.5,China,Guangdong,2/24/2023
EPI_ISL_17227405,BF.7.14,China,Henan,2/24/2023
EPI_ISL_17213327,BQ.1.12,China,Taiwan,2/24/2023
EPI_ISL_17213326,BN.1.2,China,Taiwan,2/24/2023
EPI_ISL_17213325,BQ.1.12,China,Taiwan,2/24/2023
EPI_ISL_17186834,BA.5.2.48,China,Henan,2/24/2023
EPI_ISL_17164843,BF.7.14,China,Henan,2/24/2023
EPI_ISL_17104771,BA.5.2.48,China,Others,2/24/2023
EPI_ISL_17104760,BA.5.2.48,China,Others,2/24/2023
EPI_ISL_17104680,BF.7.14,China,Hubei,2/24/2023
EPI_ISL_17488152,XBB.1.5,China,Zhejiang,2/24/2023
EPI_ISL_17501604,BF.7.14,China,Xinjiang,2/24/2023
EPI_ISL_17501616,BF.7.14,China,Xinjiang,2/24/2023
EPI_ISL_17501663,BA.5.2.48,China,Xinjiang,2/24/2023
EPI_ISL_17492943,BF.7.14,China,Sichuan,2/25/2023
EPI_ISL_17323611,XBB.1.5,China,Taiwan,2/25/2023
EPI_ISL_17165307,BF.7.14,China,Henan,2/25/2023
EPI_ISL_17075229,BA.5.2.48,China,Others,2/25/2023
EPI_ISL_17495300,DY.2,China,Others,2/25/2023
EPI_ISL_17493332,DY.4,China,Yunnan,2/25/2023
EPI_ISL_17488049,BF.7.14.1,China,Zhejiang,2/25/2023
EPI_ISL_17488151,XBB.1.5,China,Zhejiang,2/25/2023
EPI_ISL_17494442,BF.7.14,China,Jiangxi,2/26/2023
EPI_ISL_17227402,BF.7.14,China,Henan,2/26/2023
EPI_ISL_17199829,BA.5.2.49,China,Heilongjiang,2/26/2023
EPI_ISL_17199811,BA.5.2.49,China,Heilongjiang,2/26/2023
EPI_ISL_17197671,BF.7.14,China,Jiangsu,2/26/2023
EPI_ISL_17165042,BF.7.14,China,Henan,2/26/2023
EPI_ISL_17092332,BF.7.14,China,Others,2/26/2023
EPI_ISL_17495299,DY.2,China,Others,2/26/2023
EPI_ISL_17493330,DY.4,China,Yunnan,2/26/2023
EPI_ISL_17494530,BF.7.14,China,Gansu,2/26/2023
EPI_ISL_17488987,BF.7.14,China,Fujian,2/27/2023
EPI_ISL_17283536,BA.5.2,China,Taiwan,2/27/2023
EPI_ISL_17273691,BF.7.14,China,Yunnan,2/27/2023
EPI_ISL_17273689,BA.5.2.48,China,Yunnan,2/27/2023
EPI_ISL_17261684,BF.7.14,China,Guangdong,2/27/2023
EPI_ISL_17261683,BF.7.14,China,Guangdong,2/27/2023
EPI_ISL_17261682,BF.7.14,China,Guangdong,2/27/2023
EPI_ISL_17227736,BF.7.14,China,Shanxi,2/27/2023
EPI_ISL_17199813,BA.5.2.49,China,Heilongjiang,2/27/2023
EPI_ISL_17197730,BA.5.2.49,China,Jiangsu,2/27/2023
EPI_ISL_17197729,BA.5.2.49,China,Jiangsu,2/27/2023
EPI_ISL_17547599,DY.1.1,China,Yunnan,2/27/2023
EPI_ISL_17488810,BF.7.14,China,Others,2/27/2023
EPI_ISL_17186592,BF.7.14,China,Sichuan,2/27/2023
EPI_ISL_17488044,BF.7.14,China,Zhejiang,2/27/2023
EPI_ISL_17488057,BF.7.14.1,China,Zhejiang,2/27/2023
EPI_ISL_17488058,DY.4,China,Zhejiang,2/27/2023
EPI_ISL_17488061,BF.7.14.1,China,Zhejiang,2/27/2023
EPI_ISL_17494937,BA.5.2.49,China,Henan,2/27/2023
EPI_ISL_17494517,BF.7.14,China,Gansu,2/27/2023
EPI_ISL_17494519,BA.5.2.50,China,Gansu,2/27/2023
EPI_ISL_17273686,BF.7.14,China,Yunnan,2/28/2023
EPI_ISL_17261778,XBB.1.5,China,Guangdong,2/28/2023
EPI_ISL_17199869,BA.5.2.48,China,Heilongjiang,2/28/2023
EPI_ISL_17197731,BA.5.2.48,China,Jiangsu,2/28/2023
EPI_ISL_17488823,BF.7.14,China,Others,2/28/2023
EPI_ISL_17488848,BF.7.14,China,Others,2/28/2023
EPI_ISL_17488850,XBB.1.9.1,China,Others,2/28/2023
EPI_ISL_17488851,XBB.1.9.1,China,Others,2/28/2023
EPI_ISL_17495435,BF.7.14,China,Others,2/28/2023
EPI_ISL_17495306,DY.1,China,Others,2/28/2023
EPI_ISL_17487986,BF.7.14,China,Zhejiang,2/28/2023
EPI_ISL_17488011,DY.2,China,Zhejiang,2/28/2023
EPI_ISL_17488029,BF.7.14.1,China,Zhejiang,2/28/2023
EPI_ISL_17488032,DY.1,China,Zhejiang,2/28/2023
EPI_ISL_17494967,BF.7.14,China,Gansu,2/28/2023
EPI_ISL_17489042,DY.1.1,China,Fujian,3/1/2023
EPI_ISL_17488985,BF.7.14.4,China,Fujian,3/1/2023
EPI_ISL_17283532,BN.1.2,China,Taiwan,3/1/2023
EPI_ISL_17280157,BN.1.2,China,Taiwan,3/1/2023
EPI_ISL_17262903,BA.5.2.48,China,Jiangsu,3/1/2023
EPI_ISL_17243385,BF.7.14,China,Anhui,3/1/2023
EPI_ISL_17100862,BA.5.2.48,China,Fujian,3/1/2023
EPI_ISL_17488847,BF.7.14,China,Others,3/1/2023
EPI_ISL_17494756,XBB.1.9.1,China,Others,3/1/2023
EPI_ISL_17620438,XBB.1.17.1,China,Beijing,3/1/2023
EPI_ISL_17620388,DY.2,China,Beijing,3/1/2023
EPI_ISL_17495305,DY.1,China,Others,3/1/2023
EPI_ISL_17494972,DY.1,China,Gansu,3/1/2023
EPI_ISL_17495049,BA.5.2.50,China,Gansu,3/1/2023
EPI_ISL_17493966,BF.7.14,China,Sichuan,3/2/2023
EPI_ISL_17490556,BF.7.14.1,China,Hebei,3/2/2023
EPI_ISL_17487042,XBB.1.5.23,China,Hubei,3/2/2023
EPI_ISL_17487041,XBB.1.5.23,China,Hubei,3/2/2023
EPI_ISL_17295417,CH.1.1.3,China,Hong Kong,3/2/2023
EPI_ISL_17289384,BN.1.2,China,Taiwan,3/2/2023
EPI_ISL_17262904,BA.5.2.48,China,Jiangsu,3/2/2023
EPI_ISL_17261772,BF.7.14,China,Guangdong,3/2/2023
EPI_ISL_17261730,BA.5.2.48,China,Guangdong,3/2/2023
EPI_ISL_17228018,BA.5.2.6,China,Others,3/2/2023
EPI_ISL_17199873,BA.5.2.48,China,Heilongjiang,3/2/2023
EPI_ISL_17182662,XBB.1,China,Hubei,3/2/2023
EPI_ISL_17182661,XBB.1,China,Hubei,3/2/2023
EPI_ISL_17488839,XBB.1.9.1,China,Others,3/2/2023
EPI_ISL_17493985,DY.1,China,Shanxi,3/2/2023
EPI_ISL_17493988,DY.2,China,Shanxi,3/2/2023
EPI_ISL_17495296,DY.4,China,Others,3/2/2023
EPI_ISL_17494525,DY.1,China,Gansu,3/2/2023
EPI_ISL_17495052,BA.5.2.50,China,Gansu,3/2/2023
EPI_ISL_18070836,BF.7.14.1,China,Others,3/3/2023
EPI_ISL_18070834,BF.7.14.5,China,Others,3/3/2023
EPI_ISL_18070823,DY.4,China,Others,3/3/2023
EPI_ISL_18070822,DY.4,China,Others,3/3/2023
EPI_ISL_17489074,BN.1.3,China,Fujian,3/3/2023
EPI_ISL_17489067,DY.4,China,Fujian,3/3/2023
EPI_ISL_17295400,XBF,China,Hong Kong,3/3/2023
EPI_ISL_17274494,BA.5.2.49,China,Henan,3/3/2023
EPI_ISL_17261723,XBB.1.5,China,Guangdong,3/3/2023
EPI_ISL_17205162,BF.7.14,China,Others,3/3/2023
EPI_ISL_17188274,BF.7.14,China,Others,3/3/2023
EPI_ISL_17188079,BA.5.2.48,China,Others,3/3/2023
EPI_ISL_17186597,BA.5.2.48,China,Sichuan,3/3/2023
EPI_ISL_17186013,BF.7.14,China,Others,3/3/2023
EPI_ISL_17186008,BF.7.14,China,Others,3/3/2023
EPI_ISL_17186007,BA.5.2.48,China,Others,3/3/2023
EPI_ISL_17088881,BA.5.2.48,China,Anhui,3/3/2023
EPI_ISL_17088879,BA.5.2.48,China,Anhui,3/3/2023
EPI_ISL_17088878,BA.5.2.48,China,Anhui,3/3/2023
EPI_ISL_17088877,BA.5.2.48,China,Anhui,3/3/2023
EPI_ISL_17088876,BA.5.2.48,China,Anhui,3/3/2023
EPI_ISL_17088875,BA.5.2.48,China,Anhui,3/3/2023
EPI_ISL_17088874,BA.5.2.48,China,Anhui,3/3/2023
EPI_ISL_17088869,BA.5.2.48,China,Anhui,3/3/2023
EPI_ISL_17547564,BF.7.14,China,Henan,3/3/2023
EPI_ISL_17495533,BA.5.2.50,China,Xinjiang,3/3/2023
EPI_ISL_17494754,XBB.1.9.1,China,Others,3/3/2023
EPI_ISL_17494765,BF.7.14.1,China,Others,3/3/2023
EPI_ISL_17494810,BF.7.14.4,China,Gansu,3/3/2023
EPI_ISL_17495289,BA.5.2.48,China,Others,3/3/2023
EPI_ISL_17495304,DY.4,China,Others,3/3/2023
EPI_ISL_17487956,XBB.1.5.4,China,Zhejiang,3/3/2023
EPI_ISL_17488025,BF.7.14.1,China,Zhejiang,3/3/2023
EPI_ISL_17261986,BN.1.3,China,Fujian,3/3/2023
EPI_ISL_17494079,BA.5.2.49,China,Guangdong,3/3/2023
EPI_ISL_17495005,BF.7.14,China,Gansu,3/3/2023
EPI_ISL_17501578,BA.5.2.50,China,Xinjiang,3/3/2023
