strain,lineage,date,country,province
EPI_ISL_17488277_new,BF.7.14*,2023-01-13,China,Zhejiang
EPI_ISL_18320425_new,BA.2.75*,2023-01-14,China,Taiwan
EPI_ISL_17493446_new,BA.5.2*,2023-01-14,China,Guangdong
EPI_ISL_17493445_new,BA.5.2*,2023-01-14,China,Guangdong
EPI_ISL_17489549_new,BA.5.2*,2023-01-14,China,Fujian
EPI_ISL_17489548_new,BF.7.14*,2023-01-14,China,Fujian
EPI_ISL_17489547_new,BA.5.2*,2023-01-14,China,Fujian
EPI_ISL_17489546_new,BA.5.2*,2023-01-14,China,Fujian
EPI_ISL_17489545_new,BA.5.2*,2023-01-14,China,Fujian
EPI_ISL_17487608_new,BA.5.2*,2023-01-14,China,Hubei
EPI_ISL_17487366_new,BA.5.2*,2023-01-14,China,Hubei
EPI_ISL_17205250_new,XBB.1.5*,2023-01-14,China,Hong Kong
EPI_ISL_17170701_new,BA.5.2*,2023-01-14,China,Guangdong
EPI_ISL_17170700_new,BA.5.2*,2023-01-14,China,Guangdong
EPI_ISL_17150501_new,BF.7.14*,2023-01-14,China,Gansu
EPI_ISL_17068984_new,BA.5.2*,2023-01-14,China,Jiangsu
EPI_ISL_17031670_new,BF.7.14*,2023-01-14,China,Hebei
EPI_ISL_17031669_new,BA.5.2*,2023-01-14,China,Hebei
EPI_ISL_16955433_new,BF.7.14*,2023-01-14,China,Beijing
EPI_ISL_16921892_new,BF.7.14*,2023-01-14,China,Jiangsu
EPI_ISL_16921885_new,BA.5.2*,2023-01-14,China,Jiangsu
EPI_ISL_16911643_new,BA.5.2*,2023-01-14,China,Shanxi
EPI_ISL_16911642_new,BA.5.2*,2023-01-14,China,Shanxi
EPI_ISL_16911641_new,BF.7.14*,2023-01-14,China,Shanxi
EPI_ISL_16911640_new,BF.7.14*,2023-01-14,China,Shanxi
EPI_ISL_16911088_new,BA.5.2*,2023-01-14,China,Hubei
EPI_ISL_16854259_new,BF.7.14*,2023-01-14,China,Beijing
EPI_ISL_16853362_new,Others,2023-01-14,China,Taiwan
EPI_ISL_16853361_new,Others,2023-01-14,China,Taiwan
EPI_ISL_16853359_new,BA.5.2*,2023-01-14,China,Taiwan
EPI_ISL_16853357_new,BA.2.75*,2023-01-14,China,Taiwan
EPI_ISL_16853356_new,BA.5.2*,2023-01-14,China,Taiwan
EPI_ISL_16849143_new,BA.5.2*,2023-01-14,China,Shandong
EPI_ISL_16830000_new,BA.5.2*,2023-01-14,China,Qinghai
EPI_ISL_16758099_new,BF.7.14*,2023-01-14,China,Shandong
EPI_ISL_16758049_new,BA.5.2*,2023-01-14,China,Shandong
EPI_ISL_16758048_new,BF.7.14*,2023-01-14,China,Shandong
EPI_ISL_16758047_new,BA.5.2*,2023-01-14,China,Shandong
EPI_ISL_16757761_new,BA.5.2*,2023-01-14,China,Hubei
EPI_ISL_16737846_new,BA.5.2*,2023-01-14,China,Sichuan
EPI_ISL_16737845_new,BA.5.2*,2023-01-14,China,Sichuan
EPI_ISL_16737844_new,BA.5.2*,2023-01-14,China,Sichuan
EPI_ISL_16737843_new,BA.5.2*,2023-01-14,China,Sichuan
EPI_ISL_16737842_new,BF.7.14*,2023-01-14,China,Sichuan
EPI_ISL_16737841_new,BA.5.2*,2023-01-14,China,Sichuan
EPI_ISL_16737840_new,BA.5.2*,2023-01-14,China,Sichuan
EPI_ISL_16737839_new,BA.5.2*,2023-01-14,China,Sichuan
EPI_ISL_16737838_new,BA.5.2*,2023-01-14,China,Sichuan
EPI_ISL_16723139_new,BA.5.2*,2023-01-14,China,Qinghai
EPI_ISL_16723128_new,BA.5.2*,2023-01-14,China,Qinghai
EPI_ISL_16723120_new,BA.5.2*,2023-01-14,China,Qinghai
EPI_ISL_16717139_new,BA.2.75*,2023-01-14,China,Hong Kong
EPI_ISL_16717138_new,Others,2023-01-14,China,Hong Kong
EPI_ISL_16717137_new,BA.2.75*,2023-01-14,China,Hong Kong
EPI_ISL_16717136_new,BF.7.14*,2023-01-14,China,Hong Kong
EPI_ISL_16709101_new,BA.5.2*,2023-01-14,China,Henan
EPI_ISL_16709100_new,BA.5.2*,2023-01-14,China,Henan
EPI_ISL_16709099_new,BA.5.2*,2023-01-14,China,Henan
EPI_ISL_16702163_new,BA.5.2*,2023-01-14,China,Gansu
EPI_ISL_16698449_new,BA.5.2*,2023-01-14,China,Jiangsu
EPI_ISL_16698448_new,BA.5.2*,2023-01-14,China,Jiangsu
EPI_ISL_16698447_new,BA.5.2*,2023-01-14,China,Jiangsu
EPI_ISL_16610854_new,BA.5.2*,2023-01-14,China,Fujian
EPI_ISL_16610853_new,BA.5.2*,2023-01-14,China,Fujian
EPI_ISL_16610852_new,BA.5.2*,2023-01-14,China,Fujian
EPI_ISL_16610851_new,BF.7.14*,2023-01-14,China,Fujian
EPI_ISL_16610850_new,BA.5.2*,2023-01-14,China,Fujian
EPI_ISL_17488181_new,BF.7.14*,2023-01-14,China,Zhejiang
EPI_ISL_17488401_new,BF.7.14*,2023-01-14,China,Zhejiang
EPI_ISL_17494249_new,BF.7.14*,2023-01-14,China,Shaanxi
EPI_ISL_17493442_new,BA.5.2*,2023-01-15,China,Guangdong
EPI_ISL_17489544_new,BA.5.2*,2023-01-15,China,Fujian
EPI_ISL_17489543_new,BA.5.2*,2023-01-15,China,Fujian
EPI_ISL_17489542_new,BF.7.14*,2023-01-15,China,Fujian
EPI_ISL_17489541_new,BA.5.2*,2023-01-15,China,Fujian
EPI_ISL_17489540_new,BA.5.2*,2023-01-15,China,Fujian
EPI_ISL_17487606_new,BA.5.2*,2023-01-15,China,Hubei
EPI_ISL_17487593_new,BA.5.2*,2023-01-15,China,Hubei
EPI_ISL_17487367_new,BA.5.2*,2023-01-15,China,Hubei
EPI_ISL_17487365_new,BA.5.2*,2023-01-15,China,Hubei
EPI_ISL_17170704_new,BA.5.2*,2023-01-15,China,Guangdong
EPI_ISL_17031690_new,BF.7.14*,2023-01-15,China,Hebei
EPI_ISL_17031689_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031687_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031686_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031685_new,BF.7.14*,2023-01-15,China,Hebei
EPI_ISL_17031684_new,BF.7.14*,2023-01-15,China,Hebei
EPI_ISL_17031683_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031682_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031680_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031679_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031678_new,BF.7.14*,2023-01-15,China,Hebei
EPI_ISL_17031677_new,BF.7.14*,2023-01-15,China,Hebei
EPI_ISL_17031676_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031674_new,BF.7.14*,2023-01-15,China,Hebei
EPI_ISL_17031673_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_17031672_new,BF.7.14*,2023-01-15,China,Hebei
EPI_ISL_17031671_new,BA.5.2*,2023-01-15,China,Hebei
EPI_ISL_16921901_new,BA.5.2*,2023-01-15,China,Jiangsu
EPI_ISL_16921887_new,BA.5.2*,2023-01-15,China,Jiangsu
EPI_ISL_16921886_new,BA.5.2*,2023-01-15,China,Jiangsu
EPI_ISL_16911681_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911677_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911676_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911675_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911674_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911673_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911672_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911654_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911639_new,BA.5.2*,2023-01-15,China,Shanxi
EPI_ISL_16911103_new,BA.5.2*,2023-01-15,China,Hubei
EPI_ISL_16911090_new,BA.5.2*,2023-01-15,China,Hubei
EPI_ISL_16854364_new,BF.7.14*,2023-01-15,China,Jiangxi
EPI_ISL_16854359_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854334_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854332_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854331_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854330_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854329_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854328_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854327_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854326_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854325_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854324_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854323_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854322_new,BF.7.14*,2023-01-15,China,Jiangxi
EPI_ISL_16854321_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854320_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854319_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16854318_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_16849128_new,BF.7.14*,2023-01-15,China,Shandong
EPI_ISL_16803534_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16803533_new,BF.7.14*,2023-01-15,China,Anhui
EPI_ISL_16803227_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16758326_new,BA.5.2*,2023-01-15,China,Shandong
EPI_ISL_16758183_new,BA.5.2*,2023-01-15,China,Shandong
EPI_ISL_16758163_new,BA.5.2*,2023-01-15,China,Shandong
EPI_ISL_16758094_new,BF.7.14*,2023-01-15,China,Shandong
EPI_ISL_16758063_new,BA.5.2*,2023-01-15,China,Shandong
EPI_ISL_16758062_new,BF.7.14*,2023-01-15,China,Shandong
EPI_ISL_16758061_new,BA.5.2*,2023-01-15,China,Shandong
EPI_ISL_16758060_new,BA.5.2*,2023-01-15,China,Shandong
EPI_ISL_16757762_new,BA.5.2*,2023-01-15,China,Hubei
EPI_ISL_16757760_new,BA.5.2*,2023-01-15,China,Hubei
EPI_ISL_16746584_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16746583_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16740852_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16740851_new,BF.7.14*,2023-01-15,China,Anhui
EPI_ISL_16740850_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16740849_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16740848_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16740847_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16740846_new,BF.7.14*,2023-01-15,China,Anhui
EPI_ISL_16740845_new,BF.7.14*,2023-01-15,China,Anhui
EPI_ISL_16740844_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16737884_new,BF.7.14*,2023-01-15,China,Sichuan
EPI_ISL_16737837_new,BA.5.2*,2023-01-15,China,Sichuan
EPI_ISL_16723145_new,BA.5.2*,2023-01-15,China,Qinghai
EPI_ISL_16723143_new,BA.5.2*,2023-01-15,China,Qinghai
EPI_ISL_16723141_new,BA.5.2*,2023-01-15,China,Qinghai
EPI_ISL_16723110_new,BA.5.2*,2023-01-15,China,Qinghai
EPI_ISL_16719104_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16719103_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16719102_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16712179_new,BA.5.2*,2023-01-15,China,Guangdong
EPI_ISL_16712139_new,BA.5.2*,2023-01-15,China,Guangdong
EPI_ISL_16709223_new,BA.5.2*,2023-01-15,China,Beijing
EPI_ISL_16709222_new,BF.7.14*,2023-01-15,China,Beijing
EPI_ISL_16709221_new,BF.7.14*,2023-01-15,China,Beijing
EPI_ISL_16709056_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16709055_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16709054_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16698468_new,BA.5.2*,2023-01-15,China,Jiangsu
EPI_ISL_16698446_new,BA.5.2*,2023-01-15,China,Jiangsu
EPI_ISL_16698408_new,BF.7.14*,2023-01-15,China,Jiangsu
EPI_ISL_16698406_new,BA.5.2*,2023-01-15,China,Jiangsu
EPI_ISL_16698405_new,BA.5.2*,2023-01-15,China,Jiangsu
EPI_ISL_16698059_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698058_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698057_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698056_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698055_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698054_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698053_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698052_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698051_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698050_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698049_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698048_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698047_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698046_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698045_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698044_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698043_new,BF.7.14*,2023-01-15,China,Xinjiang
EPI_ISL_16698042_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698041_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698040_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698039_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16698038_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16697990_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16697989_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16697988_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16635971_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16635970_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16635968_new,BA.5.2*,2023-01-15,China,Xinjiang
EPI_ISL_16614007_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16614006_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16614005_new,BA.5.2*,2023-01-15,China,Anhui
EPI_ISL_16610859_new,BA.5.2*,2023-01-15,China,Fujian
EPI_ISL_16610858_new,BA.5.2*,2023-01-15,China,Fujian
EPI_ISL_16610857_new,BF.7.14*,2023-01-15,China,Fujian
EPI_ISL_16610856_new,BA.5.2*,2023-01-15,China,Fujian
EPI_ISL_16610855_new,BA.5.2*,2023-01-15,China,Fujian
EPI_ISL_16597097_new,BA.5.2*,2023-01-15,China,Jiangxi
EPI_ISL_17495197_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17495198_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17495199_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17495200_new,BF.7.14*,2023-01-15,China,Gansu
EPI_ISL_17495201_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17495202_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17495203_new,BF.7.14*,2023-01-15,China,Gansu
EPI_ISL_17495204_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17494769_new,BF.7.14*,2023-01-15,China,Gansu
EPI_ISL_17494770_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17494771_new,BF.7.14*,2023-01-15,China,Gansu
EPI_ISL_17494772_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17494773_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17494774_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17494775_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17494776_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17494777_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17494778_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17495205_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17495206_new,BA.5.2*,2023-01-15,China,Gansu
EPI_ISL_17488141_new,BA.5.2*,2023-01-15,China,Zhejiang
EPI_ISL_17488146_new,BF.7.14*,2023-01-15,China,Zhejiang
EPI_ISL_17488184_new,BA.5.2*,2023-01-15,China,Zhejiang
EPI_ISL_17736169_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_17736158_new,BF.7.14*,2023-01-16,China,Zhejiang
EPI_ISL_17736151_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_17736149_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_17736107_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_17736105_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_17736103_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_17495526_new,BA.5.2*,2023-01-16,China,Sichuan
EPI_ISL_17495525_new,BA.5.2*,2023-01-16,China,Sichuan
EPI_ISL_17493448_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17493071_new,BF.7.14*,2023-01-16,China,Sichuan
EPI_ISL_17492888_new,BA.5.2*,2023-01-16,China,Sichuan
EPI_ISL_17489820_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17489819_new,BF.7.14*,2023-01-16,China,Guangdong
EPI_ISL_17489818_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17489817_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17489816_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17489815_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17489814_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17489813_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17489622_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489621_new,BF.7.14*,2023-01-16,China,Fujian
EPI_ISL_17489620_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489619_new,BF.7.14*,2023-01-16,China,Fujian
EPI_ISL_17489618_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489617_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489616_new,BF.7.14*,2023-01-16,China,Fujian
EPI_ISL_17489615_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489614_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489613_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489612_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489611_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489610_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489609_new,BF.7.14*,2023-01-16,China,Fujian
EPI_ISL_17489608_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489607_new,BF.7.14*,2023-01-16,China,Fujian
EPI_ISL_17489606_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489605_new,BF.7.14*,2023-01-16,China,Fujian
EPI_ISL_17489604_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17489603_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17488448_new,BA.5.2*,2023-01-16,China,Fujian
EPI_ISL_17488441_new,BF.7.14*,2023-01-16,China,Fujian
EPI_ISL_17487610_new,BA.5.2*,2023-01-16,China,Hubei
EPI_ISL_17487592_new,BA.5.2*,2023-01-16,China,Hubei
EPI_ISL_17487364_new,BA.5.2*,2023-01-16,China,Hubei
EPI_ISL_17273667_new,BF.7.14*,2023-01-16,China,Yunnan
EPI_ISL_17273666_new,BA.5.2*,2023-01-16,China,Yunnan
EPI_ISL_17170821_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170820_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170819_new,BF.7.14*,2023-01-16,China,Guangdong
EPI_ISL_17170813_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170760_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170759_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170758_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170723_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170722_new,BF.7.14*,2023-01-16,China,Guangdong
EPI_ISL_17170721_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170720_new,BF.7.14*,2023-01-16,China,Guangdong
EPI_ISL_17170719_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170718_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170717_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170716_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170712_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17170698_new,BA.5.2*,2023-01-16,China,Guangdong
EPI_ISL_17150623_new,BA.5.2*,2023-01-16,China,Gansu
EPI_ISL_17086607_new,BF.7.14*,2023-01-16,China,Guangxi
EPI_ISL_17075283_new,BA.5.2*,2023-01-16,China,Anhui
EPI_ISL_17075282_new,BA.5.2*,2023-01-16,China,Anhui
EPI_ISL_17031699_new,BA.5.2*,2023-01-16,China,Hebei
EPI_ISL_17031698_new,BA.5.2*,2023-01-16,China,Hebei
EPI_ISL_17031697_new,BA.5.2*,2023-01-16,China,Hebei
EPI_ISL_17031696_new,BA.5.2*,2023-01-16,China,Hebei
EPI_ISL_17031695_new,BA.5.2*,2023-01-16,China,Hebei
EPI_ISL_17031694_new,BA.5.2*,2023-01-16,China,Hebei
EPI_ISL_17031693_new,BA.5.2*,2023-01-16,China,Hebei
EPI_ISL_17031692_new,BF.7.14*,2023-01-16,China,Hebei
EPI_ISL_17031691_new,BA.5.2*,2023-01-16,China,Hebei
EPI_ISL_16997139_new,BF.7.14*,2023-01-16,China,Anhui
EPI_ISL_16997138_new,BA.5.2*,2023-01-16,China,Anhui
EPI_ISL_16937151_new,BA.5.2*,2023-01-16,China,Shanxi
EPI_ISL_16937150_new,BF.7.14*,2023-01-16,China,Shanxi
EPI_ISL_16937149_new,BF.7.14*,2023-01-16,China,Shanxi
EPI_ISL_16937148_new,BF.7.14*,2023-01-16,China,Shanxi
EPI_ISL_16937147_new,BA.5.2*,2023-01-16,China,Shanxi
EPI_ISL_16937146_new,BF.7.14*,2023-01-16,China,Shanxi
EPI_ISL_16937145_new,BA.5.2*,2023-01-16,China,Shanxi
EPI_ISL_16937144_new,BA.5.2*,2023-01-16,China,Shanxi
EPI_ISL_16937137_new,BF.7.14*,2023-01-16,China,Shanxi
EPI_ISL_16937117_new,BA.5.2*,2023-01-16,China,Shanxi
EPI_ISL_16921908_new,BF.7.14*,2023-01-16,China,Jiangsu
EPI_ISL_16921907_new,BF.7.14*,2023-01-16,China,Jiangsu
EPI_ISL_16921906_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16921905_new,BF.7.14*,2023-01-16,China,Jiangsu
EPI_ISL_16921904_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16921903_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16921902_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16921889_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16921888_new,BF.7.14*,2023-01-16,China,Jiangsu
EPI_ISL_16921882_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16921881_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16921879_new,BF.7.14*,2023-01-16,China,Jiangsu
EPI_ISL_16921862_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16921861_new,BA.5.2*,2023-01-16,China,Jiangsu
EPI_ISL_16911680_new,BA.5.2*,2023-01-16,China,Shanxi
EPI_ISL_16911679_new,BA.5.2*,2023-01-16,China,Shanxi
EPI_ISL_16911678_new,BA.5.2*,2023-01-16,China,Shanxi
EPI_ISL_16911541_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_16911104_new,BA.5.2*,2023-01-16,China,Hubei
EPI_ISL_16910800_new,BA.5.2*,2023-01-16,China,Heilongjiang
EPI_ISL_16899499_new,BA.5.2*,2023-01-16,China,Sichuan
EPI_ISL_16899485_new,BF.7.14*,2023-01-16,China,Sichuan
EPI_ISL_16899476_new,BA.5.2*,2023-01-16,China,Sichuan
EPI_ISL_16899475_new,BA.5.2*,2023-01-16,China,Sichuan
EPI_ISL_16876908_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_16876799_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_16873144_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_16873143_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_16873142_new,BA.5.2*,2023-01-16,China,Zhejiang
EPI_ISL_16873140_new,BF.7.14*,2023-01-16,China,Zhejiang
EPI_ISL_16854370_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854369_new,BF.7.14*,2023-01-16,China,Jiangxi
EPI_ISL_16854368_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854367_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854366_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854365_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854363_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854362_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854361_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854360_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854346_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854345_new,BF.7.14*,2023-01-16,China,Jiangxi
EPI_ISL_16854344_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854343_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854342_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854341_new,BF.7.14*,2023-01-16,China,Jiangxi
EPI_ISL_16854340_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854339_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854338_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854336_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854335_new,BA.5.2*,2023-01-16,China,Jiangxi
EPI_ISL_16854333_new,BF.7.14*,2023-01-16,China,Jiangxi
EPI_ISL_16854243_new,BF.7.14*,2023-01-16,China,Beijing
