"strain","date","country","merged_lineage","date_num"
"EPI_ISL_17836645","2023-06-04","China","XBB.1.22*",19512
"EPI_ISL_17836640","2023-06-04","China","BA.2.75*",19512
"EPI_ISL_17836637","2023-06-04","China","XBB.1.16*",19512
"EPI_ISL_17836636","2023-06-07","China","XBB.1.16*",19515
"EPI_ISL_17836632","2023-06-06","China","XBB.1.5*",19514
"EPI_ISL_17836628","2023-06-06","China","XBB.1.16*",19514
"EPI_ISL_17836622","2023-06-07","China","XBB.1.9*",19515
"EPI_ISL_17836615","2023-06-06","China","XBB.1.22*",19514
"EPI_ISL_17836589","2023-06-09","China","XBB.1.16*",19517
"EPI_ISL_17836583","2023-05-30","China","XBB.1.9*",19507
"EPI_ISL_17836582","2023-05-30","China","XBB.1.16*",19507
"EPI_ISL_17836575","2023-06-06","China","XBB.1.9*",19514
"EPI_ISL_17836571","2023-06-07","China","XBB.1.22*",19515
"EPI_ISL_17836566","2023-06-08","China","XBB.1.5*",19516
"EPI_ISL_17836565","2023-06-12","China","XBB.1.5*",19520
"EPI_ISL_17836570","2023-06-07","China","XBB.1.9*",19515
"EPI_ISL_17836563","2023-06-10","China","XBB.1.22*",19518
"EPI_ISL_17836555","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836554","2023-06-11","China","XBB.1.22*",19519
"EPI_ISL_17836548","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17836547","2023-06-05","China","XBB.1.9*",19513
"EPI_ISL_17836546","2023-06-05","China","XBB.1.22*",19513
"EPI_ISL_17836544","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17836543","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17836541","2023-06-11","China","XBB.1.5*",19519
"EPI_ISL_17836540","2023-06-11","China","XBB.1.22*",19519
"EPI_ISL_17836539","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836537","2023-06-12","China","XBB.1.5*",19520
"EPI_ISL_17836534","2023-06-13","China","XBB.1.16*",19521
"EPI_ISL_17836533","2023-06-13","China","XBB.1.22*",19521
"EPI_ISL_17836532","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17836529","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17836528","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17836526","2023-06-10","China","XBB.1.5*",19518
"EPI_ISL_17836525","2023-06-10","China","XBB.1.9*",19518
"EPI_ISL_17836523","2023-06-10","China","XBB.1.16*",19518
"EPI_ISL_17836522","2023-06-13","China","XBB.1.16*",19521
"EPI_ISL_17836521","2023-06-14","China","XBB.1.5*",19522
"EPI_ISL_17836520","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836519","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836518","2023-06-14","China","XBB.1.5*",19522
"EPI_ISL_17836517","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836514","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836513","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836511","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836508","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836507","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836506","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836505","2023-06-11","China","XBB.1.22*",19519
"EPI_ISL_17836504","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17836503","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17836502","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17836501","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17836500","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17836499","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17836498","2023-06-11","China","BA.2.75*",19519
"EPI_ISL_17836497","2023-06-10","China","XBB.1.16*",19518
"EPI_ISL_17836495","2023-06-13","China","XBB.1.22*",19521
"EPI_ISL_17836494","2023-06-13","China","XBB.1.22*",19521
"EPI_ISL_17836492","2023-06-12","China","BA.2.75*",19520
"EPI_ISL_17836491","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17836490","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17836488","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17836487","2023-06-12","China","BA.2.75*",19520
"EPI_ISL_17836484","2023-06-14","China","XBB.1.22*",19522
"EPI_ISL_17836482","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836485","2023-06-14","China","XBB.1.9*",19522
"EPI_ISL_17836479","2023-06-14","China","XBB.1.5*",19522
"EPI_ISL_17836477","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836476","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17836473","2023-06-13","China","XBB.1.5*",19521
"EPI_ISL_17836472","2023-06-13","China","XBB.1.16*",19521
"EPI_ISL_17836471","2023-06-13","China","XBB.1.22*",19521
"EPI_ISL_17836470","2023-06-08","China","XBB.1.22*",19516
"EPI_ISL_17836467","2023-06-06","China","XBB.1.5*",19514
"EPI_ISL_17836466","2023-06-11","China","XBB.1.22*",19519
"EPI_ISL_17836465","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836464","2023-06-11","China","XBB.1.9*",19519
"EPI_ISL_17836463","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836462","2023-06-11","China","XBB.1.9*",19519
"EPI_ISL_17836461","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836457","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836456","2023-06-11","China","XBB.1.22*",19519
"EPI_ISL_17836455","2023-06-11","China","XBB.1.22*",19519
"EPI_ISL_17836454","2023-06-11","China","XBB.1.5*",19519
"EPI_ISL_17836452","2023-06-11","China","XBB.1.5*",19519
"EPI_ISL_17836451","2023-06-10","China","XBB.1.16*",19518
"EPI_ISL_17836449","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836448","2023-06-10","China","XBB.1.22*",19518
"EPI_ISL_17836447","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836446","2023-06-11","China","XBB.1.5*",19519
"EPI_ISL_17836445","2023-06-11","China","XBB.1.5*",19519
"EPI_ISL_17836444","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17836440","2023-06-14","China","BA.2.75*",19522
"EPI_ISL_17836443","2023-06-11","China","XBB.1.9*",19519
"EPI_ISL_17836438","2023-06-11","China","XBB.1.9*",19519
"EPI_ISL_17836434","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17836432","2023-04-23","China","BA.5.2*",19470
"EPI_ISL_17836431","2023-04-25","China","XBB.1.16*",19472
"EPI_ISL_17836430","2023-04-24","China","BA.5.2*",19471
"EPI_ISL_17836429","2023-04-24","China","BA.5.2*",19471
"EPI_ISL_17836428","2023-04-27","China","BA.5.2*",19474
"EPI_ISL_17836427","2023-04-27","China","XBB.1.9*",19474
"EPI_ISL_17836426","2023-04-26","China","XBB.1.16*",19473
"EPI_ISL_17836424","2023-04-27","China","BA.5.2*",19474
"EPI_ISL_17836423","2023-04-26","China","XBB.1.9*",19473
"EPI_ISL_17836422","2023-05-22","China","XBB.1.5*",19499
"EPI_ISL_17836418","2023-05-23","China","XBB.1.9*",19500
"EPI_ISL_17836416","2023-05-25","China","XBB.1.5*",19502
"EPI_ISL_17836415","2023-05-26","China","XBB.1.9*",19503
"EPI_ISL_17836414","2023-05-27","China","XBB.1.9*",19504
"EPI_ISL_17836411","2023-04-29","China","XBB.1.9*",19476
"EPI_ISL_17836409","2023-05-23","China","XBB.1.9*",19500
"EPI_ISL_17836407","2023-05-26","China","XBB.1.9*",19503
"EPI_ISL_17836406","2023-05-26","China","XBB.1.9*",19503
"EPI_ISL_17836402","2023-05-27","China","XBB.1.5*",19504
"EPI_ISL_17836401","2023-04-26","China","XBB.1.5*",19473
"EPI_ISL_17836400","2023-04-24","China","XBB.1.9*",19471
"EPI_ISL_17836399","2023-04-24","China","XBB.1.9*",19471
"EPI_ISL_17836398","2023-04-26","China","BF.7.14*",19473
"EPI_ISL_17836397","2023-05-04","China","XBB.1.5*",19481
"EPI_ISL_17836396","2023-05-03","China","XBB.1.9*",19480
"EPI_ISL_17836395","2023-05-04","China","XBB.1.9*",19481
"EPI_ISL_17836394","2023-05-04","China","XBB.1.9*",19481
"EPI_ISL_17836393","2023-05-05","China","XBB.1.9*",19482
"EPI_ISL_17836390","2023-04-27","China","BA.2.75*",19474
"EPI_ISL_17836389","2023-04-27","China","BF.7.14*",19474
"EPI_ISL_17836388","2023-04-27","China","BA.5.2*",19474
"EPI_ISL_17836387","2023-04-28","China","BF.7.14*",19475
"EPI_ISL_17836385","2023-04-26","China","XBB.1.16*",19473
"EPI_ISL_17836384","2023-04-29","China","XBB.1.9*",19476
"EPI_ISL_17836382","2023-04-26","China","BA.5.2*",19473
"EPI_ISL_17836381","2023-05-24","China","XBB.1.9*",19501
"EPI_ISL_17836379","2023-05-28","China","XBB.1.5*",19505
"EPI_ISL_17836378","2023-05-28","China","XBB.1.5*",19505
"EPI_ISL_17836377","2023-05-30","China","BA.5.2*",19507
"EPI_ISL_17836374","2023-05-25","China","BA.2.75*",19502
"EPI_ISL_17836373","2023-05-25","China","XBB.1.9*",19502
"EPI_ISL_17836371","2023-05-25","China","XBB.1.9*",19502
"EPI_ISL_17836370","2023-05-25","China","XBB.1.5*",19502
"EPI_ISL_17836368","2023-05-26","China","XBB.1.9*",19503
"EPI_ISL_17836363","2023-04-30","China","XBB.1.5*",19477
"EPI_ISL_17836362","2023-04-27","China","XBB.1.9*",19474
"EPI_ISL_17836361","2023-04-30","China","XBB.1.9*",19477
"EPI_ISL_17836360","2023-04-26","China","XBB.1.9*",19473
"EPI_ISL_17836359","2023-05-04","China","XBB.1.9*",19481
"EPI_ISL_17836358","2023-05-02","China","BA.5.2*",19479
"EPI_ISL_17836357","2023-05-19","China","XBB.1.9*",19496
"EPI_ISL_17836355","2023-04-30","China","XBB.1.9*",19477
"EPI_ISL_17836354","2023-04-30","China","XBB.1.5*",19477
"EPI_ISL_17836350","2023-04-30","China","XBB.1.9*",19477
"EPI_ISL_17836349","2023-04-30","China","XBB.1.9*",19477
"EPI_ISL_17836348","2023-04-30","China","BF.7.14*",19477
"EPI_ISL_17836347","2023-05-03","China","XBB.1.9*",19480
"EPI_ISL_17836346","2023-05-04","China","XBB.1.5*",19481
"EPI_ISL_17836345","2023-05-03","China","XBB.1.9*",19480
"EPI_ISL_17836344","2023-05-03","China","BA.2.75*",19480
"EPI_ISL_17836343","2023-05-04","China","XBB.1.5*",19481
"EPI_ISL_17836341","2023-05-04","China","XBB.1.5*",19481
"EPI_ISL_17836340","2023-05-03","China","XBB.1.5*",19480
"EPI_ISL_17836339","2023-04-30","China","BA.5.2*",19477
"EPI_ISL_17836338","2023-05-22","China","XBB.1.16*",19499
"EPI_ISL_17836337","2023-05-22","China","XBB.1.9*",19499
"EPI_ISL_17836334","2023-05-23","China","XBB.1.9*",19500
"EPI_ISL_17836333","2023-05-23","China","XBB.1.9*",19500
"EPI_ISL_17836330","2023-04-28","China","XBB.1.9*",19475
"EPI_ISL_17836328","2023-04-28","China","XBB.1.9*",19475
"EPI_ISL_17836327","2023-04-27","China","XBB.1.5*",19474
"EPI_ISL_17836325","2023-04-29","China","XBB.1.9*",19476
"EPI_ISL_17836323","2023-05-07","China","XBB.1.9*",19484
"EPI_ISL_17836318","2023-04-22","China","BA.5.2*",19469
"EPI_ISL_17836317","2023-04-22","China","BA.5.2*",19469
"EPI_ISL_17836316","2023-04-23","China","BA.5.2*",19470
"EPI_ISL_17836315","2023-04-25","China","BA.5.2*",19472
"EPI_ISL_17836314","2023-04-24","China","XBB.1.9*",19471
"EPI_ISL_17836309","2023-04-27","China","XBB.1.9*",19474
"EPI_ISL_17836308","2023-04-26","China","XBB.1.9*",19473
"EPI_ISL_17836306","2023-05-03","China","XBB.1.16*",19480
"EPI_ISL_17836305","2023-05-02","China","XBB.1.9*",19479
"EPI_ISL_17836297","2023-05-05","China","XBB.1.9*",19482
"EPI_ISL_17836296","2023-05-17","China","XBB.1.9*",19494
"EPI_ISL_17836293","2023-05-17","China","XBB.1.5*",19494
"EPI_ISL_17836292","2023-05-17","China","XBB.1.5*",19494
"EPI_ISL_17836290","2023-05-18","China","XBB.1.5*",19495
"EPI_ISL_17836287","2023-05-19","China","XBB.1.9*",19496
"EPI_ISL_17836286","2023-05-19","China","XBB.1.9*",19496
"EPI_ISL_17836282","2023-05-25","China","XBB.1.5*",19502
"EPI_ISL_17836279","2023-05-25","China","XBB.1.9*",19502
"EPI_ISL_17836274","2023-05-20","China","XBB.1.9*",19497
"EPI_ISL_17836272","2023-05-23","China","XBB.1.5*",19500
"EPI_ISL_17836267","2023-05-23","China","XBB.1.16*",19500
"EPI_ISL_17836266","2023-05-23","China","XBB.1.16*",19500
"EPI_ISL_17836265","2023-05-23","China","XBB.1.5*",19500
"EPI_ISL_17836264","2023-05-23","China","XBB.1.9*",19500
"EPI_ISL_17836262","2023-05-26","China","XBB.1.16*",19503
"EPI_ISL_17836261","2023-05-25","China","XBB.1.9*",19502
"EPI_ISL_17836260","2023-04-29","China","XBB.1.9*",19476
"EPI_ISL_17836259","2023-04-28","China","XBB.1.9*",19475
"EPI_ISL_17836258","2023-04-27","China","XBB.1.16*",19474
"EPI_ISL_17836256","2023-04-26","China","XBB.1.16*",19473
"EPI_ISL_17836255","2023-05-01","China","XBB.1.9*",19478
"EPI_ISL_17836251","2023-04-28","China","XBB.1.9*",19475
"EPI_ISL_17836250","2023-04-28","China","XBB.1.9*",19475
"EPI_ISL_17836249","2023-04-25","China","BA.5.2*",19472
"EPI_ISL_17836243","2023-04-30","China","XBB.1.22*",19477
"EPI_ISL_17836242","2023-04-26","China","BA.5.2*",19473
"EPI_ISL_17836241","2023-04-29","China","XBB.1.9*",19476
"EPI_ISL_17836240","2023-04-29","China","XBB.1.9*",19476
"EPI_ISL_17836238","2023-04-30","China","XBB.1.9*",19477
"EPI_ISL_17836237","2023-04-29","China","XBB.1.16*",19476
"EPI_ISL_17836235","2023-04-29","China","XBB.1.16*",19476
"EPI_ISL_17836234","2023-04-28","China","XBB.1.16*",19475
"EPI_ISL_17836228","2023-05-26","China","XBB.1.5*",19503
"EPI_ISL_17836227","2023-05-27","China","BA.2.75*",19504
"EPI_ISL_17836225","2023-05-27","China","XBB.1.16*",19504
"EPI_ISL_17836224","2023-05-29","China","XBB.1.5*",19506
"EPI_ISL_17830492","2023-06-09","China","XBB.1.9*",19517
"EPI_ISL_17830491","2023-06-02","China","XBB.1.9*",19510
"EPI_ISL_17830489","2023-06-10","China","XBB.1.5*",19518
"EPI_ISL_17830486","2023-06-03","China","XBB.1.9*",19511
"EPI_ISL_17830485","2023-06-05","China","XBB.1.9*",19513
"EPI_ISL_17830480","2023-06-08","China","XBB.1.16*",19516
"EPI_ISL_17830471","2023-06-03","China","XBB.1.16*",19511
"EPI_ISL_17830469","2023-05-19","China","XBB.1.9*",19496
"EPI_ISL_17830468","2023-06-07","China","XBB.1.16*",19515
"EPI_ISL_17830464","2023-06-06","China","XBB.1.16*",19514
"EPI_ISL_17830465","2023-06-07","China","XBB.1.9*",19515
"EPI_ISL_17830461","2023-06-10","China","XBB.1.9*",19518
"EPI_ISL_17830460","2023-05-27","China","XBB.1.16*",19504
"EPI_ISL_17830457","2023-06-10","China","XBB.1.9*",19518
"EPI_ISL_17830456","2023-06-03","China","BA.5.2*",19511
"EPI_ISL_17830454","2023-06-06","China","XBB.1.22*",19514
"EPI_ISL_17830451","2023-06-11","China","XBB.1.9*",19519
"EPI_ISL_17830449","2023-06-02","China","XBB.1.5*",19510
"EPI_ISL_17830448","2023-06-03","China","XBB.1.9*",19511
"EPI_ISL_17830445","2023-06-02","China","XBB.1.16*",19510
"EPI_ISL_17830444","2023-05-23","China","BA.2.75*",19500
"EPI_ISL_17830442","2023-06-11","China","XBB.1.9*",19519
"EPI_ISL_17830441","2023-06-06","China","XBB.1.22*",19514
"EPI_ISL_17830439","2023-06-06","China","XBB.1.9*",19514
"EPI_ISL_17830438","2023-06-08","China","BA.2.75*",19516
"EPI_ISL_17830437","2023-05-26","China","XBB.1.9*",19503
"EPI_ISL_17830435","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17830434","2023-06-06","China","XBB.1.16*",19514
"EPI_ISL_17830432","2023-06-06","China","XBB.1.9*",19514
"EPI_ISL_17830430","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17830428","2023-06-04","China","XBB.1.9*",19512
"EPI_ISL_17830424","2023-06-03","China","XBB.1.9*",19511
"EPI_ISL_17830427","2023-06-06","China","XBB.1.9*",19514
"EPI_ISL_17830425","2023-06-09","China","XBB.1.16*",19517
"EPI_ISL_17830426","2023-05-20","China","BA.2.75*",19497
"EPI_ISL_17830423","2023-06-09","China","XBB.1.9*",19517
"EPI_ISL_17830421","2023-06-01","China","XBB.1.5*",19509
"EPI_ISL_17830420","2023-06-07","China","XBB.1.9*",19515
"EPI_ISL_17830422","2023-06-07","China","XBB.1.9*",19515
"EPI_ISL_17830419","2023-06-07","China","XBB.1.16*",19515
"EPI_ISL_17830417","2023-06-04","China","XBB.1.9*",19512
"EPI_ISL_17830414","2023-06-06","China","XBB.1.22*",19514
"EPI_ISL_17830413","2023-06-07","China","XBB.1.9*",19515
"EPI_ISL_17830412","2023-06-09","China","XBB.1.9*",19517
"EPI_ISL_17830410","2023-06-13","China","XBB.1.16*",19521
"EPI_ISL_17830407","2023-06-03","China","XBB.1.9*",19511
"EPI_ISL_17830408","2023-06-01","China","XBB.1.9*",19509
"EPI_ISL_17830409","2023-06-06","China","XBB.1.9*",19514
"EPI_ISL_17830406","2023-05-31","China","XBB.1.9*",19508
"EPI_ISL_17830404","2023-06-06","China","XBB.1.16*",19514
"EPI_ISL_17830402","2023-06-04","China","XBB.1.16*",19512
"EPI_ISL_17830401","2023-06-06","China","XBB.1.22*",19514
"EPI_ISL_17830400","2023-05-24","China","BA.2.75*",19501
"EPI_ISL_17830398","2023-06-03","China","XBB.1.5*",19511
"EPI_ISL_17830390","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17830386","2023-06-10","China","XBB.1.16*",19518
"EPI_ISL_17830385","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17830383","2023-06-04","China","XBB.1.9*",19512
"EPI_ISL_17830381","2023-06-11","China","XBB.1.16*",19519
"EPI_ISL_17830374","2023-06-08","China","XBB.1.5*",19516
"EPI_ISL_17830362","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17830373","2023-05-23","China","XBB.1.9*",19500
"EPI_ISL_17830358","2023-06-01","China","BA.2.75*",19509
"EPI_ISL_17830357","2023-06-07","China","XBB.1.16*",19515
"EPI_ISL_17830356","2023-06-01","China","XBB.1.22*",19509
"EPI_ISL_17830353","2023-06-07","China","XBB.1.5*",19515
"EPI_ISL_17830351","2023-05-15","China","XBB.1.9*",19492
"EPI_ISL_17830348","2023-05-15","China","XBB.1.16*",19492
"EPI_ISL_17830355","2023-06-07","China","XBB.1.9*",19515
"EPI_ISL_17830347","2023-05-12","China","XBB.1.5*",19489
"EPI_ISL_17830346","2023-05-15","China","XBB.1.22*",19492
"EPI_ISL_17830343","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17830342","2023-06-13","China","XBB.1.16*",19521
"EPI_ISL_17830341","2023-06-15","China","XBB.1.22*",19523
"EPI_ISL_17830338","2023-05-24","China","XBB.1.9*",19501
"EPI_ISL_17830336","2023-05-27","China","XBB.1.9*",19504
"EPI_ISL_17830325","2023-06-01","China","XBB.1.9*",19509
"EPI_ISL_17830327","2023-05-22","China","XBB.1.9*",19499
"EPI_ISL_17830322","2023-04-18","China","XBB.1.9*",19465
"EPI_ISL_17830321","2023-04-09","China","XBB.1.9*",19456
"EPI_ISL_17830320","2023-04-11","China","BA.5.2*",19458
"EPI_ISL_17830319","2023-04-14","China","BA.5.2*",19461
"EPI_ISL_17830318","2023-03-05","China","BA.5.2*",19421
"EPI_ISL_17830317","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830316","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830315","2023-04-21","China","XBB.1.9*",19468
"EPI_ISL_17830314","2023-04-13","China","XBB.1.9*",19460
"EPI_ISL_17830313","2023-03-23","China","BA.5.2*",19439
"EPI_ISL_17830312","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830311","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830310","2023-04-18","China","XBB.1.9*",19465
"EPI_ISL_17830309","2023-04-12","China","BA.5.2*",19459
"EPI_ISL_17830308","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830307","2023-04-17","China","XBB.1.5*",19464
"EPI_ISL_17830306","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830305","2023-04-12","China","BA.5.2*",19459
"EPI_ISL_17830304","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830303","2023-04-12","China","BA.5.2*",19459
"EPI_ISL_17830302","2023-04-12","China","XBB.1.9*",19459
"EPI_ISL_17830301","2023-04-14","China","BA.5.2*",19461
"EPI_ISL_17830300","2023-04-06","China","BA.5.2*",19453
"EPI_ISL_17830299","2023-04-09","China","XBB.1.9*",19456
"EPI_ISL_17830298","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830297","2023-03-04","China","BF.7.14*",19420
"EPI_ISL_17830295","2023-04-14","China","BA.5.2*",19461
"EPI_ISL_17830294","2023-04-13","China","XBB.1.9*",19460
"EPI_ISL_17830293","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830292","2023-04-13","China","XBB.1.9*",19460
"EPI_ISL_17830291","2023-04-17","China","XBB.1.5*",19464
"EPI_ISL_17830290","2023-04-21","China","XBB.1.9*",19468
"EPI_ISL_17830289","2023-04-13","China","XBB.1.9*",19460
"EPI_ISL_17830288","2023-02-26","China","BA.5.2*",19414
"EPI_ISL_17830284","2023-04-14","China","XBB.1.9*",19461
"EPI_ISL_17830283","2023-06-02","China","XBB.1.9*",19510
"EPI_ISL_17830273","2023-05-23","China","XBB.1.22*",19500
"EPI_ISL_17830272","2023-05-24","China","XBB.1.16*",19501
"EPI_ISL_17830271","2023-05-29","China","XBB.1.22*",19506
"EPI_ISL_17830270","2023-05-26","China","XBB.1.22*",19503
"EPI_ISL_17830269","2023-05-27","China","XBB.1.22*",19504
"EPI_ISL_17819898","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17819897","2023-06-11","China","XBB.1.9*",19519
"EPI_ISL_17819894","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17819893","2023-06-09","China","XBB.1.9*",19517
"EPI_ISL_17819892","2023-06-09","China","XBB.1.22*",19517
"EPI_ISL_17819895","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17819890","2023-06-09","China","XBB.1.5*",19517
"EPI_ISL_17819888","2023-06-09","China","XBB.1.16*",19517
"EPI_ISL_17819887","2023-06-09","China","XBB.1.16*",19517
"EPI_ISL_17819885","2023-06-06","China","XBB.1.16*",19514
"EPI_ISL_17819884","2023-05-29","China","BA.2.75*",19506
"EPI_ISL_17819883","2023-05-26","China","XBB.1.16*",19503
"EPI_ISL_17819882","2023-05-25","China","XBB.1.16*",19502
"EPI_ISL_17819878","2023-06-05","China","XBB.1.9*",19513
"EPI_ISL_17819876","2023-06-05","China","BA.2.75*",19513
"EPI_ISL_17819875","2023-06-09","China","XBB.1.22*",19517
"EPI_ISL_17819873","2023-06-06","China","XBB.1.22*",19514
"EPI_ISL_17819872","2023-06-02","China","XBB.1.22*",19510
"EPI_ISL_17819867","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17819866","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17819865","2023-05-08","China","XBB.1.22*",19485
"EPI_ISL_17819864","2023-05-08","China","XBB.1.16*",19485
"EPI_ISL_17819863","2023-05-14","China","XBB.1.5*",19491
"EPI_ISL_17819862","2023-05-14","China","XBB.1.9*",19491
"EPI_ISL_17819861","2023-05-08","China","XBB.1.16*",19485
"EPI_ISL_17819860","2023-06-13","China","XBB.1.9*",19521
"EPI_ISL_17819856","2023-06-14","China","XBB.1.16*",19522
"EPI_ISL_17819855","2023-06-13","China","XBB.2.3*",19521
"EPI_ISL_17819852","2023-06-12","China","XBB.1.16*",19520
"EPI_ISL_17819851","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17819850","2023-06-01","China","XBB.1.9*",19509
"EPI_ISL_17819848","2023-06-11","China","XBB.1.9*",19519
"EPI_ISL_17817050","2023-06-15","China","XBB.1.22*",19523
"EPI_ISL_17817049","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17817048","2023-06-14","China","XBB.1.22*",19522
"EPI_ISL_17817047","2023-06-14","China","XBB.1.22*",19522
"EPI_ISL_17817046","2023-06-13","China","XBB.1.22*",19521
"EPI_ISL_17817045","2023-06-13","China","XBB.1.9*",19521
"EPI_ISL_17817043","2023-06-13","China","XBB.1.22*",19521
"EPI_ISL_17817042","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17817041","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17817040","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17817039","2023-06-13","China","XBB.1.5*",19521
"EPI_ISL_17817038","2023-06-13","China","XBB.1.22*",19521
"EPI_ISL_17817037","2023-06-05","China","XBB.1.22*",19513
"EPI_ISL_17817036","2023-06-09","China","XBB.1.16*",19517
"EPI_ISL_17817035","2023-06-06","China","XBB.1.22*",19514
"EPI_ISL_17817033","2023-06-11","China","XBB.1.22*",19519
"EPI_ISL_17817032","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17817031","2023-06-09","China","XBB.1.22*",19517
"EPI_ISL_17817030","2023-06-13","China","XBB.1.22*",19521
"EPI_ISL_17817029","2023-06-09","China","XBB.1.9*",19517
"EPI_ISL_17817028","2023-06-09","China","XBB.1.22*",19517
"EPI_ISL_17817027","2023-06-09","China","XBB.1.22*",19517
"EPI_ISL_17817026","2023-06-07","China","XBB.1.9*",19515
"EPI_ISL_17817025","2023-06-05","China","XBB.1.9*",19513
"EPI_ISL_17817024","2023-06-05","China","XBB.1.16*",19513
"EPI_ISL_17817023","2023-06-02","China","XBB.1.16*",19510
"EPI_ISL_17817021","2023-06-12","China","XBB.1.9*",19520
"EPI_ISL_17817020","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17817018","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17817017","2023-06-12","China","XBB.1.5*",19520
"EPI_ISL_17817016","2023-06-12","China","XBB.1.22*",19520
"EPI_ISL_17817015","2023-05-26","China","XBB.1.22*",19503
"EPI_ISL_17817014","2023-05-26","China","XBB.1.22*",19503
"EPI_ISL_17817012","2023-05-24","China","XBB.1.22*",19501
"EPI_ISL_17817011","2023-05-23","China","XBB.1.22*",19500
"EPI_ISL_17817013","2023-05-26","China","XBB.1.9*",19503
"EPI_ISL_17817010","2023-05-24","China","XBB.1.22*",19501
"EPI_ISL_17817009","2023-05-25","China","XBB.1.5*",19502
"EPI_ISL_17817008","2023-05-12","China","XBB.1.16*",19489
"EPI_ISL_17817007","2023-05-22","China","XBB.1.9*",19499
"EPI_ISL_17817006","2023-05-19","China","XBB.1.5*",19496
"EPI_ISL_17817005","2023-04-25","China","BA.5.2*",19472
"EPI_ISL_17817004","2023-04-25","China","BA.5.2*",19472
"EPI_ISL_17817003","2023-04-27","China","BF.7.14*",19474
"EPI_ISL_17817002","2023-04-23","China","BA.5.2*",19470
